고객관계,label
"당사 영업부에서 제품 개발단계에서 정기적인 기술적 장점 홍보, 커뮤니케이션 진행
고객의 요청에 따라 영업부와 목표고객과의 제품관련 협의를 통한 고객 니즈파악후 제품 진행
인맥을 통한 고객목표 설정",C
"당사의 패키징 필름을 사용하는 고객사의 생산부, 품질관리부서 직원과의 주기적인 미팅을 통해 사용상 불편사항을 지속적으로 모니터링 및 시정, 보완한다.
고객사의 신규설비 도입 시 테스트용 샘플제공 및 시운전에 적극 협조한다.
구매부서를 주기적으로 방문하여 애로사항을 경청하며 문제점을 해결하도록 한다.",C
"설계사무소에 시험성적서 및 인증서 대응 활동 / 지속적인 신뢰감을 통한 제품관련홍보
구매자 실질적인 수요업체를 통한 경쟁력 있는 견적 제안
최근 디자인 트랜드 및 시공 현황에 따른 공유 활동",C
고객의 업무 담당자와의 직접 대화를 통한 니즈 파악,D
"정기적인 건강관리 소책자 배포.
개인정보 동의 고객에 대한 보장분석내용 전달.
연말 소득공제 자료배포.
기계약자에 대한 안부인사 --- 1일 1사원 5명.",C
"고객의 요구 조건에 맞는 끊임없는 중국 공장 개발로 고객의 요구에 사전 준비 또는 선 제안
중복투자로 비용은 증가되나 차차선책 준비(중국 거래공장에 주요품목 중복개발) (거래중단 , 급격한 가격인상, 국내 업체 침범 등 대비)
이익은 고객이 우선 , 손해는 당사가 우선 정책(대세는 당사가 이익임: 신뢰)",B
"제품에 대한 유형에 서비스와 무형에 서비스를 제공 고객에게 지속적인  서비스 제공
지속적인 기술 개발과 숙련된 기술자 양성으로 제품의 기술력 확보
특허 및 저작권 확보로 기업의 기술력 및 제품 홍보
고객과의 제품에 대한 매뉴얼 수칙에 의한 행동 준수",C
"고객의 요청에 따라 주기적(월별, 분기별) 사업기획 및 세미나로 고객 니즈 파악
동종업계 경쟁사 비교 분석, 신기술 접목한 시제품 제작 및 품평회를 통한 제품 제안
지분 투자를 통한 사업이외의 유대관계 강화",C
"당사는 매스컴에 노출이 종종되었고
(YTN 강한중소기업이…, KBS 중견만리등..)
과거 30여년전에 타사보다 월등한 기술력의 제품을 생산하여 인지도가 있음.
기계설비 유관단체인 대한설비공학회, 한국설비기술협회 이사회 등에 참여하여
건설사,설계사,학계 관계인사와 정기적인 교류 및 기계설비협회 행사,세미나 등에 참여",C
"안전시설 설치 및 대국민 안전의식 홍보 플랭카드 설치
고속도로 사망자 숫자 저감노력 홍보함
신기술 도입으로 업무혁신
우수 사업사례로 홈페이지 및 방문 응대 등 대내외 홍보",B
"전국적으로 사업성 있는 사업들을 선별하고 그와 관련된 기관에 제안영업
(각자의 니즈에 맞을 때 추진)
회사의 재무건전성을 적극 홍보함
당사의 실적을 적극 홍보함(실적부족시 공동도급추진)
아파트사업 입주민 대상 : 품질의 우수성 홍보/하자 최소화 및 조속조치",C
"뛰어나고 디자인 우수하고, 설계 VE 기법이 고려된 설계안이 우선입니다.
모든 고객 관계는 설계안이 최우선으로 제안합니다",E
"의사소통이 원홀한 인간관계의 유지를 위해 인내 및 포용력
역지사지의 생각으로 고객과 공감하고 이해하기
공감하고 느꼈다면 변화하기
동기부여이론 및 리더십이론을 자주 생각하고 실천하기",D
"대체로 메일로 이루어집니다.
전화 또는 직접 방문을 통한 우리 회사 홍보 및 신뢰 유지
우리회사 실적 홍보를 위한 프리젠테이션과 실적자료 발송 등 방문과 전화나 간혹 메일 또는 인터넷 홍보 ",D
"직접 방문을 통한 당사 소개와
관련 지인의 추천을 통한 우리회사 소개 추천",D
"공공 발주기관의 발주자 지속 관리
아파트 이용 고객의 만족도 향상을 위한 생활의 불편함을 조기 해소 하면서 고객관리 
사업의 필요성을 수요처에 지속적으로 제안",D
"공공 발주기관의 발주자 지속 관리
아파트 이용 고객의 만족도 향상을 위한 생활의 불편함을 조기 해소 하면서 고객관리 
사업의 필요성을 수요처에 지속적으로 제안",D
"상기 언급한 각 발주처의 공사를 우수한 품질로 공기내 책임 준공하여 신뢰 확보
그동안 쌓아 놓은 신탁사 준공 실적을 활용하여 적극적으로 신탁사 영업
당사 보유 특허를 각 발주처 및 설계사에 정기적으로 기술, 가격 가성비를 적극 홍보 및 영업",C
"홍보채널로 활용이 가능한 커피쇼핑몰의 입점을 통해서 신제품 출시시기에 할인행사를 통한 홍보
기존 자사의 고객들의 DB를 활용해서 지속적인 제품의 트렌디한 정보제공 ( 플러스 친구)
홈페이지의 메인배너를 통한 최신 이슈사항의 지속전달  ",C
"박람회 행사
SNS채널 마케팅
자사홈페이지*네이버 스마트 스토어 채널에서의 고객과 1:1 빠른 채팅소통",B
"고객의 요청에 따라 신제품의 공동개발.
당사에서 고객의 NEEDS를 파악하여 시스템자동화의 선행 제안.
온라인 및 SNS를 통한 마케팅
영업 조직에 의한 개별 영업",C
"기업고객을 통하여 상담 방문
블로그를 통하여 고객으로부터 불편한 사항 접수 및 방문
주기적으로 기업 담당자에게 소식전달",C
"신 제품에 대한 홍보 영상을 제작 후 관련 고객에게 즉시 발송
매주 수요일 웹메일 발송 (3천 여명)
온라인 광고 진행 (키워드 광고, 페이스북, 블로그 등)
전시회 참가 (국내, 국외)
고객과의 식사, 운동 등을 통한 자리에서 홍보
내부 영업자들의 고객 방문",B
"당사 영업부에서 건설사, 시행사, 설계사무소, 박물관에 우리회사만의 기술력 및 시공 능력 홍보
지인소개를 통해서 우리회사의 장점홍보",D
"한국실내건축가협회 활동(현 상임이사)
KOSID 회원들을 위한 제품 세미나
페이스북, 인스타그램 등 SNS 홍보
디자이너 대상으로한 해외 디자이너 초청 및 제품 시공사례 세미나",C
업체별 고객 요청에 따라 바로 현장에서 제품 테스트와 기술력을 제시,D
"고객사의 요구사항을 주기적인 방문 및 유,무선을 통한 청취
영업 담당직원이 방문하여 즉시 해결
전시회 및 박람회를 통한 시장흐름 및 Technology 파악",C
"전국 6개의 거점 영업팀을 통한 기존 고객사 정기적인 직접 방문 및 유선영업 실시
개인별 월 4회 이상의 신규 고개사 방문 및 개발노력
고객사 납품처(원청)에 대한 기술 지원
입찰 거래처의 업체등록을 통한 정기/비정기적 입찰 참여
중대형 압출호기를 통한 기술영업 실시",B
"고객이 생각하는 시공 방식에 대한 불안감 해소를 위해 기술적 및 공사수행 이력에 따른 노하우 공유하여 관계유지
수행중인 현장 담당자와 긴밀한 관계 유지하여 프로젝트 완료시까지 영업적, 시공적 업무 수행능력의 탁월함 어필
당사의 원가경쟁력은 건설현장의 공무 또는 건설사 견적팀에 반영하여 원가 절감방안에 대해 의견제시하여 소통 유도 
우월한 시공관리시스템은 건설현장의 공무 및 공사팀에 반영하여 업무Loss 절감방안 제시하여 소통 유도 
설계노하우를 바탕으로 실시설계시 문제점 또는 제품시공시 현장 조건에따른 문제점 발췌하여 기술적 소통 유도 ",C
"접촉고객에 대한 미팅 이력관리와 니즈 파악
관련 자산관리 및 투자정보 안내
주기적인 오프라인 미팅을 통한 상세한 자산관리 정보제공 및 제안",C
"기술 세미나
현장 방문을 통한 기술 영업
각종 전람회를 통한 일반 홍보",C
"단골고객을 많이 확보한 기업이 시장점유율이 높다. 수요가 정체되거나 둔화될 때 어느 정도의 단골고객을 확보하고 유지하는 것이 기업의 생존에 큰 영향을 미친다.
직접 고객 현장을 찾아 고객관계관리를 한다.
관리자가 자주 고객과 소통하며 고객의 문제나 요구를 즉시 해결해 준다.
제품을 사용하는 현장부서의 사용자, 구매 결정에 영향을 주는 기술부서가 고객이다.
구매자보다 제품을 사용하는 사용자도 중요고객으로 관계관리 하고있다.
장기적 관점에서 고객의 생애가치지수를 분석하고 단기간에 발생하는 회사의 어떠한 손해도 고통도 감수한다.
고객을 전략적으로 잘 관리한다.
단골고객을 만들기 위해 공식적인 업무처리보다 마음을 나누는 관계를 유지한다.
고객의 기대를 뛰어넘는 즐거움과 감동을 주기위한 노력을 한다.
고객의 성과창출에 초점을 맞추고 소통해야 한다. 무엇보다도 신뢰를 바탕으로한 인간관계가 중요하다.
서비스가치를 높인다.
고객으로부터 견적 의뢰나 주문받기 전에 고객 현장의 설계부서나 기술부서를 찾아다니며 고객에게 필요한 정보나 기술을 제공하려 노력한다.
제품을 생산하고 납품 및 설치에 이르기까지 사용부서를 자주 찾아다니며 차별화된 써비스 제공한다.
고객이 안고 있는 회사나 개인문제와 고민이 무엇인지 잘 들어주고 공유 도움을 주므로 오랜 고객관계를 유지 시키는 방법이다.
함께 참여하는 방식, 정성을 다하는 관계를 유지, 고객이 부지런하다는 인지를 갖을 수 있는 관계를 만들어간다.",C
-,
"고객 요구에 따라 당사 설계팀과 고객사와의 정기적 워크샵을 통해 고객 요구사항 충족
정기적으로 고객의 애로사항 청취",C
"정부 지방자치단체를 대상으로 교육프로그램 소개 및 협의
중소기업 CEO 및 임직원을 대상으로 이메일 및 SNS활용한 홍보
중소기업 관련 기관, 협회, 단체 등을 대상으로 직접교섭 컨소시엄 참여 및 모집협조의뢰",C
"고객사의 요청시 박스지기 설계제안 및 최적의 인쇄제안
지속적인 원가 절감을 위한 최적의 지종, 제작방법 제안
배송시 고객사와의 신속한 커뮤니케이션으로 배송 신뢰성 확보
타사와 차별화되는 박스제조 특허 획득
박스제품 쇼룸운영으로 당사의 차별성 및 기술적 우위 홍보(사잔/공장방문/E-MAIL 등)",C
"생산과 마케팅은 별도의 부서를 운영 함으로서 생산부서는 생산과 기술개발에 치중하고
  판매 및 영업은 마케팅부서에서 운영",D
"개정된 세법 등 정보를 미리 고객에게 전달 
고객의 가장 가까운 법률 자문역활",D
"기업 홈페이지 통한 콜트콜로 진행하면서 각 기업의 인사팀장과 소통
일자리 창출 컨퍼런스, 채용 포털 사이트
지인들의 인맥 네트워크를 통해 소통",D
당사와 타사 제품의 동영상을 통한 비교,E
"신제품판매제안서 메일로 꾸준히 발송
새로운 제품을 촬영, 상세페이지 만들어 위탁판매업체에 제공
카톡 단톡 방, 밴드, 카페 등을 통한 홍보
소개를 통한 영업
입점한 쇼핑몰을 통한 판매",C
"국가기관 및 지방자체단체(발주처)로부터 수주 받아 전문건설업체, 자재업체, 건설중기업체와 신의·성실의 원칙하에 계약이행에 의한 신뢰 구축 및 관계 연속성 유지",D
"고객사의 영업권역 내 경재 점포의 판매 및 매출 동향을 파악하여 최적의 경쟁력 유지
자체 CRM을 운영하여 괙사의 판매 동향을 파악하고 최적의 판매 전략을 제시하여 고객사의 요구를 적극적으로 검토하고 대응",D
"포털 온라인 광고
체험단 등 서포터즈 활동을 통한 체험 공유
SNS를 통한 체험 공유, 이벤트 알림 및 특정 집단 선별 온라인 광고 노출
기존 고객 의견 수렴을 통한 상품개발 반영",C
"지속적 관련 자료 제공 및 기술 변화 추세의 조언
신제품 개발 동향 정보 제공
동종 업계 관계사들의 추세 정보 제공",D
"지속적인 영업 사원과 고객과의 관계 유지
온라인 홍보 (온라인 플랫폼 유치)
지속적인 sns 로 고객과 소통",C
"온라인 채널을 통한 꾸준한 컨텐츠 노출 홍보 
이메일 레터를 통한 과정소개, 프로그램, 세미나 안내
멤버십 프로그램 운영을 통한 홍보",C
"고객사와 지속적인 의견 교환을 통한 시장요구 사항을 파악해서 대응
충실한 고객지원을 통한 고객지원 우수사례에 대한 입소문 및 온라인 전파
기존 거래처의 개발 요청 시, 해당 업체 특화 제품을 제외하고는 시장성이 있는 제품 개발에 대한 개발비 본사 부담",B
"상 거래 시 현장 하자 처리를 신속하게 한다.
상품의 디자인 개발 시 사용자(건설사 및 시행사) 의견을 적극적으로 반영하여서 개발.
기존 상품보다 저렴한 단가를 지속적으로 제안(제품 개선 및 생산성 향상).",C
"품질과 A/S 등 신뢰확보
고객만족에 의한 영업
지속적인 제품 개발 제시",E
관공서 담당을 통하여 기술적 제안설계로 발주처에 필요한 상항을 대응 ,E
지속적인 경쟁사들의 영업정보 획득을 바탕으로 한걸음 더 앞선 서비스를 제공,E
"영업점 망을 통한 대 고객 응대 및 서비스 제공
온라인 채널을 통한 비대면 신규 고객 창출 및 기존 고객 응대 서비스 제공
다양한 제휴 마케팅을 통한 신규 고객 창출(신용카드, 여신 등)
정기적인 고객 행사를 통한 신규고객 유입 및 소개 마케팅",B
"온라인 채널 마케팅 (SNS 및 홈페이지)
회원제를 통한 홍보 마케팅 소통
매장에서의 현장 소통",C
"고객의 디자인 요구 사항 접수 : 클라이언트의 의도 및 요청사항 파악 / 프로젝트 일정 수립
디자인 기획 : 프로젝트 분석 및 조사 / 대상지 기본자료 입수및 주,야간 현황 분석
디자인 개발 : 기본 방향 설정 / 디자인 기획,빛의 위계 및 컨셉 설정, 시공 및 유지 관리부분 검토,연출 계획 수립
테크니컬 디자인 : 클라이언트와 조명 디자인 컨셉 구체화 방향 설정
클라이언트에 예상돼는 조명 시뮬레이션 및 경제성 분석 제시
실시설계 도면 납품
디자인 마케팅 : 설치 현장 점검 및 문제점 보완 / 연출 계획에 따른 시공 감리
시공 및 감리 : 등기구 설치상태 및 시공 점검 / 에이밍 콘트럴 관련 점검
위 프로세스를 확립하여 각 클라이언트에게 명확한 정보 및 의사 소통을 통하여 최상의 서비스를 지향하고 있으며 이를 통하여 향후 지속적인 영업 관계 유지",C
"고객의 요청에 따라 당사 영업부와 목표고객과의 제품관련 기술세미나를 통해 고객의 니즈 파악
당사 영업부에서 기존 욕실 시공 방식 대비 불안감 해소를 위한 뛰어난 품질과 공기단축, 하자처리 강점을 시행사, 건설사, 설계사무소등 목표고객에게 제안 영업
당사 영업부에서 시행사, 건설사, 설계사무소 등 목표고객에게 정기적인 기술적 장점 홍보
유튜브, 인스타그램, 페이스북과 같은 온라인 채널 마케팅
욕실관련 이벤트 행사를 통한 고객 목소리 경청
신문, 뉴스를 통한 회사 PR",C
"회사의 설계지명도 상향 노력
최상의 설계, 감리능력을 제공한다는 지속적인 신뢰 유지
우수한 작품 설계와 잡지사를 언론을 통한 홍보",D
"가장 중요한 것은 고객과의 신뢰이며 꾸준한 전시회 참가 및 거래처 방문으로 서로의 필요성을 감지하고 상황에 맞게끔 협조하는 것임 
이외에도 B2B등 온라인 홍보도 하고 있음",C
"초기 예산수립과정부터 당사제품이 설계에 반영되도록 각 공공기관의 정책입입자,실무주무관등에게 당사제품의 우수성 제안,제시",D
"기존 거래했던 시공사 직원들 과의 지속적인 네트워킹
품질, 납기 등에서 오랜 기간 안정적인 납품실적 어필",D
"정확하고 신속하게 증권발급으로 신뢰구축
친절한 고객응대
주기적인 연락으로 친분유지",D
"카다로그 사용하여 고객 앞 제품 설명하고 각 고객의 환경에 맞는 제품 제안
주요 목표고객을 정기적으로 방문하여 신제품 정보 제공, 합리적인 가격 정보 제공, 정확한 배송, 하자처리에 대해 강조(약속)함.  ",D
"우수한 기술력으로 바탕으로 ‘저렴한 가격으로 우수한 상품을 적기에 만들어 제공’하는 경영방침으로 슬로건이 아닌 실천함으로써 다양한 고객(발주처, 아파트 조합원 등)들이 스스로 선택하게끔 하도록 해야 함.",E
"급변하는 데이터 및 절차 등을 주기적으로 업데이트 제공하여 신뢰를 유지
메일 또는 안내 문자 등을 통한 홍보",C
"회사 홈페이지를 통한 시공기술 소개 및 실적 소개  
당사 영업부에서 건설사, 시행사 등 기술 제안 영업
정기적인 종합 건설사 협력업체 등록 및 외주팀과의 소통을 통해 고객의 니즈를 파악, 기준에 부족한 점 보완
현장에서 성실시공 및 품질시공으로 실무자 평가관리 ",C
"지속적인 인맥 관리(DB, 홈페이지 활성화)
마케팅 활성화를 통한 고객과의 연대감 조성
지속적인 홈쇼핑 방송을 통한 신뢰감 조성
지역담당제를 통한 고객 신뢰 확보
주기적인 내부 결속력 강화",C
"매년 바뀌는 교육법령을 교육담당자에서 문자나 카톡 또는 이메일로 전달 
명절날 교육담당자에게 인사를 하면서 교육관련 대화를 이끌어냄
업체에 맞는 교육진행 (환경, 비용 등)",D
"기존업체에 소개를 요청하고, 컨설팅을 하면서 소개를 통한 새로운 고객 유치",D
"도로이용차량의 편의와 안정성 확보 노력
교통량 증대를 위한 이벤트 시행
라디오 방송을 통한 회사 홍보",D
"워크샵, 세미나를 통한 고객의 니즈 파악
건설사와의 정기적인 간담회
중소기업 파트너쉽 몰 등 온라인을 통한 의견 청취 및 신청
신문, 뉴스를 통한 홍보 및 공고",C
"국내 랜드마크 현장 적용 사례 소개.
해외 유명 욕실 자재 전시회 초청.
타 브랜드(경쟁사) 장단점 소개
수입품 동종 업계(타일, 주방가구, 가전, 마루, etc)와 원만한 관계 유지",D
자사의 홈페이지를 적극 활용하기도 하고 SNS에 공식 계정을 만들어서 인테리어 업체나 건축사 건설사에서 관심있는 분들이 방문 후 연락이 오고 있습니다. 또한 주기적으로 업데이트된 자료를 직접 방문하여 소개하는 방식으로 진행하고 있습니다,C
안전과 고품질을 확보하면서 합리적인 견적금액 제시,E
"유튜브, 인스타그램 등 온라인 마케팅 시도
신문, 라디오 광고 등을 통한 분양홍보 마케팅
자체아파트 모델하우스 건립 및 홍보를 통한 직접 홍보
신기술 도입 등 검토를 통한 고객 니즈 파악 및 자체사업, 민간입찰시 반영",C
"담당 직원과 고객과의 상시 소통(전화, 메일, 카톡 등)
신고기간별 신고안내 연락 돌리기
기존 거래처의 주변인들 중 새로운 고객이 될 수 있는 사람들이 있는지 파악
지속적인 온라인홍보(포털 광고)",C
건설사· 시행사· 레저산업업체와의 협력관계를 통한 신뢰 구축,E
현재는 영업총괄인 본인의 역량에 의존하는 상황이며 2021년부터 글로벌 네트워크 회사와의 협력적 온라인 세미나 준비 중,E
"(기업) 고객이 원하는 QoS 달성(장애 없는 지속적이고 안정적인 ICT 인프로 서비스)
(기업) 고객의 사업 환경에 적합한 부가서비스를 제안함으로써 Up-selling 및 Cross-selling 달성",E
"정부정책에 대해 선재적 대응안을 마련하여 납품업체와 정보공유 및 대응책에 대하여
공동연구 활동
 소비자 불만사항에 대하여 기술적 대안을 마련하여 해결책 강구
지속적인 기술혁신으로 산업재산권 확보 및 동종업체와 기술적 차별화 전략
온라인을 통한 B2C판매 강화로 자사브랜드 이미지 재고",C
"정기적인 뉴스 레터 발송, 전문가 그룹을 통한 유튜버 교육, 홍보
앱 개발 제공(판매자), 약사, 판매자 등에 필요한 정보 오픈, 회원 가입을 통해 중요 정보 제공
(예: 개원 약국가 정보, 인기 제품 실시간 제공, 자사제품 비교 정보 제공 등)",B
"제품 납품 후 -> 만족도 조사-> 품질개선 사항 반영 
 담당자와 자주 미팅 및 연락하여 필요 부분을 계속적 피드백
 현장 담당자와 미팅",C
"제품 납품 후 -> 만족도 조사-> 품질개선 사항 반영 
 담당자와 자주 미팅 및 연락하여 필요부분을 계속적 피드백
 현장 담당자와 미팅",C
"브랜드/고객사와의 지속적인 미팅. 
미팅과 이메일 교신을 통한 업무제안/피드백으로 고객의 니즈를 파악하고 제품개발에 적용.
시즌별 트랜드 분석 후, 각 브랜드별 특화된 자료/소재/디자인 작성 및 배포. 
상품을 안정적으로 생산하고 공급할 수 있는 공급력 유지 및 지속적인 기술개발에 대한 홍보.",C
"친절한 상담 배송의 정확성 
신규상품의 알림",D
"입찰을 통한 수주물량에 대하여 감독부서와의 소통을 통해 보다 정확하고 필요한 수준의 과업 진행 
개발한 노선의 제안을 위하여 건설사와 소통하고 인허가 기관의 이해를 높여 고객(건설사)의 신뢰를 향상시킴",D
"현재에는 특별한 방법은 없음
블로그 등 온라인 채널 마케팅 진행 예정",E
"편리한 주거환경을 위한 최적의 설계 안 제공
개발사업에 대한 금융상품 소개 및 사업방식 개발과 가치 있는 사업기회를 지속적으로 발굴하기 위한 고객과의 세미나 장 제공
사업장 주변 친환경 조성",C
"저 마진으로 대면 관리
평상시 관계관리 ",E
"남들과 다른 디자인제안과 구축을 통해 고객의 성공과 담당자의성장을 통한 지속성 유지
일관된 공간브랜드구축과 유지를 통한 기업의 브랜드가치 창출 유도
국제적인 어워드 등을 통한 결과물의 가치증명",D
"온, 오프라인 광고
기존에 개발을 완료한 건물의 홈페이지 소개를 통한 신뢰구축 (공정보고를 통한 수분양자 소통)",D
"고객사에 신제품 및 신기술 안내
설계시에 제품의 장단점 등을 안내하여 설계에 반영될 수 있도록 함
고객사의 사업계획 정보를 수집하여 미리 대응함",D
"고객이 찾기 쉽고 알기 쉽게 자사 홈페이지 업그레이드 구축
기존 거래고객에게 안부전화 및 신규차량 홍보",D
고객과의 지속적인 통화를 통한 커뮤니케이션 의사 소통 실행,D
"고객의 요구사항을 면밀히 검토 –건축적 해석을 통한 도면, 3d투시도, 모형을 통한                                고객과의 소통 구현한다.
그리고 그 결과물에 대한 설명을 통한 수주, 그리고 준공 후 인간적 관계 유지",D
"담당자별 고객의 요구에 즉각적인 수행을 통한 만족도 추구.
협의, 납품 등에 대한 현장 참여, 미팅 추구
계약 사항을 준수하기 위한 사전 관리 및 준비",D
고객의 소리함 운영,D
"당사 제품 적용처에 지속적으로 사용현황, 품질유지, 교환주기 등 체크하며 기술지원을 함.
건설사, 설비회사, 소각장 등 사용처에 주기적인 방문영업 등으로 우호적인 유대관계 유지.
환경전시회, 기계전시회 등 참여를 통해 홍보활동 실시.
지인을 통한 신규거래처 및 고객확보.",C
"품질 우선의 고객 만족으로 신뢰구축을 통한 고객 채널관리
LGU+ 지역전담 고객별 최상의 서비스 제공을 통한 고객신뢰 향상 추진 
정보통신의 분야별(철도, 정보통신, 항만, 공항) 지역 정책세미나 참여",B
"품질 우선의 고객 만족으로 신뢰구축을 통한 고객 채널관리
정보통신 전문기업 우위전략을 통한 제안 컨소시엄 회사 참여 활동
정보통신의 분야별(철도, 정보통신, 항만, 공항) 정책세미나 참여
시공사례별 PR활동 추진(홈페이지, 브로셔)
정보통신 신사업분야 추이정보 공유채널 운영 등",C
"품질 우선의 고객 만족으로 신뢰구축을 통한 고객 채널관리
인천경제자유구역청 인천유시티 포럼 참여
인천서구청 정보화사업 추진 실행위원 참여",D
"이대한경제신문 광고
고객에게 공법을 설명하는 세미나 개최 및 자료 제공
지속적인 자료 제공을 통한 관계 유지",D
안전과 고품질을 확보하면서 합리적인 견적금액 제시,E
"고객의 시스템환경과 요구 사항을 제품에 적용하여, 최적의 시스템을 구축하기 위한 Customizing 및 컨설팅 용역을 제공합니다.
5개의 사업부로 구성된 영업조직(공공사업, 광역사업, 금융사업, 엔터프라이즈, MA)에서 고객 및 End-User에 직접 영업활동을 진행합니다.
지방 고객을 위해 지방 채널을 선정하고 최초 계약부터 설치-유지보수에 이르기까지 영업의 전과정을 일임합니다.
고객의 어떠한 요구에도 자체적으로 제품공급, 컨설팅 및 기술지원과 커스타미이징을 제공합니다.
애플리케이션에서 발생하는 이벤트를 종합적으로 관리하여 장애조치시간 단축, 발생 후 신속한 대응으로 비용절감 효과를 제공하며 IT인프라 성능향상에 따른 고객서비스 만족도를 증가시킵니다.",B
"당사 영업부에서 지자체, 건설사, 설계사무소 등 목표고객에게 정기적인 영업홍보
  자치체, 건설사, 설계사무소 제품관련 미팅 수시 참석
  블로그, 유튜브, 파워링크를 통한 온라인 마케팅",C
"거래처에 대한 영업사원의 정기/수시 방문을 통한 소통
고객의 발주제품에 대한 생산 및 납품 스케쥴을 고객과 정보 공유
납품한 제품에 대한 고객의 만족도 파악 및 의견 조율
철강시장의 변동상황에 관한 정보 취득 시 고객에게 전달하여, 고객의 영업 및 마케팅 활동에 도움이 될 수 있도록 상호교류(Win-Win)",C
"바이어가 제시한 컨셉에 맞는 정확한 샘플작업.
주기적인 신규 디자인 제안.
당사의 제품 품질에 대한 신뢰 및 제품 가격
고객의 컴프레인에 대한 응대.",D
"당사를 잘 알고 있는 기존고객사를 통한 건축주소개
지인을 통한 건축주면담
홍보앱 활용
관 입찰참여",D
"고객존중의 경영이념을 바탕으로 고객사와의 긴밀한 공조관계 유지( ① 문제해결의 사전교감신속처리제도화, ② 실무자와의 상시 소통체계 유지, ③ 위기관리)
현장의 소리& 사원의 소리 청취채널 다양화 운영(현장의 어려움과 사원의 고충사항 등을 여과없이 접수/ 신속히 해결하여 파트너쉽 공고화 유지)",D
고객사가 필요로 하는 스펙을 미팅을 통해 확인,E
"최고경영자과정 참가를 통해 인적 풀을 넓히고, 지인 소개 요청",E
