고객세그먼트,label
"자동차 부품 생산 및 조립 업체
(현대모비스, 현대위아, 현대다이모스, 만도 그 외 자동차 1,2 차사)
산업용 부품 및 철강사
(포스코, 현대제철, 세아제강 등)",B
"창호대리점, (창호)단종업체, (알루미늄)가공업체",C
"건설사(현대건설, 현대엔지니어링, 삼성물산, 대우건설, 롯데건설外) 
상업용 및 오피스빌딩 시공하는 시공사
공개입찰 발주를 시공하는 건설사
건설사 지명 입찰 
설계사무소 ",C
"기관 단체의 성격은 무관한 공공기관, 협회, 조합, 공제회
삼성 현대와 같은 대그룹, 중견기업, 중소기업
개인 자산가 및 일반인",C
"건설사, 정비사업조합, 설계사무소, 시행사, 건축주",C
"공공기관, 관련업종 종사자, 건물 관리회사, 식자재 관련 유통업자, 건물 건축주
각 개인 사업장, 개인 등 물 티슈를 쓰는 모든 고객",C
"에어컨.김치냉장고.TV.
침대.운동기구.쇼파
씽크대.공기청정기. B2B다양한 전자제품 기업",C
㈜만도 평택공장,E
정부 지방자치단체 중소기업 임직원 단체,D
"매월 정기적인 물량확보가 가능한 기업
부정기적인 대량물량, 시즌에 물량이 집중되는 것은 바람직하지 않음 
대량 물량이나 매년 경쟁입찰을 함으로써 장기적인 공장가동율 유지에 불안전성을
주는 가능한 회피
고부가가치 박스 필요기업
당사의 강점은 고품질인쇄(금박, 형압)등을 활용한 싸바리박스 등",C
"변압기 제조업체
구동 Motor 제조업체",D
"복식부기 의무 사업자
일정매출액 이상 사업자",C
국내외 모든 업종의 기업을 대상으로 핵심 인재 소프트랜딩 서비스를 제공하고 있습니다,D
"당사는 주 아이템인 공기청정기 도소매 및 렌탈을 하는 platform 회사를 지향하는 회사로 특정 타겟을 정한 건 없습니다. 공기청정기는 기업, 가정 등 다 필요한 제품입니다.",D
"일반소비자(전자상거래) 제품 카테고리 모두 있음(현재 판매 중인 제품 종류 약2500종류)
폐쇄 몰(대기업복지몰, 포인트몰, 공무원몰 등 특정집단을 목표로 하는 쇼핑몰에 입점 판매) 담당자 (현재 입점: 새마을금고 복지 몰, 엘지그룹 몰, 현대그룹, 엘지전자, 인천e음몰 등)
일반기업체 명절선물/사은품/판촉물 담당자",C
"국가기관 및 지방자치단체, 공기업
각 건설사, 설계사무소, 시행사
자재업체, 건설중기업체",C
대형 할인점을 제외한 국내 모든 소매유통 회사,D
"화장품을 필요로 하는 20~30대 여성, 남성
화장품을 필요로 하는 10대 여성, 남성
화장품을 필요로 하는 40대 여성, 남성
주름을 개선하고 싶은 50대 여성",C
"전기 전자 제조사, 화학회사, 반도체 및 반도체 원료 제조 회사. 전기 배터리 제조 원료 공급사.",C
"전국 조명 관련 기업
항공사(대한항공,제주항공등)
유한양행
마켓 컬리
지마켓",B
"기업 CEO, CXO
기업교육을 전문으로 하고 있으므로, 모든 기업이 대상
주로 기업의 HRD 담당자",C
"위생도기 제조업체
건설사
리모델링 전문업체
건자재 유통업체
설비업체
B2C에 해당하는 일반 소비자",C
"아파트를 대단위로 건설 기획하는 시행사.
(위생도기 및 타일 제품을 설계에 반영하여 스펙이 필요한 고객사)
종합건설사 (직접거래 행위=스펙 영업 결실)",C
"유통업(백화점, 마트, 기타판매시설)
금융업(은행, 증권사)
공공기관(도시철도공사, 지하철공사, KTX)
지방자치단체(시청, 구청, 주민센터)
신축건물 또는 리모델링건물
아파트건설사",B
"건설사
관공서
설계사무소",C
"전자제품 제조업체
 반도체 제조설비 제조업체",C
"소매금융 : 개인고객 (일반고객 및 자산가 그룹)
도매금융 : 기업고객",D
"서울 대치점(주력-브런치) (30~40대 주부 연령층)
분당 수내점(주력-빵&커피) (30~50대 다양한 연령층)
분당 정자점(주력-브런치&빵) (20~30대 젊은 연령층)",C
"공공기관, 전국 각 지자체 
시행사/건축주
1군 건설사, 건축 설계사, 엔지니어링 설계사 등",C
"건설사, 설계사무소, 토지주, 시행사
설비회사
주거용 건물 건축주
리모델링을 원하는 주부나 남편",C
"설계의뢰 건축주, 발주처
설계관련 건설사, 시행사, 협력사",C
"정유, 석유화학, 발전소와 관련된 회사",C
"정부기관
지자체
공공기관(한국도로공사,한공공항공사,인천국제공항공사 등)",C
대기업 1군 건설회사(시공사) 입니다. ,E
"각종 계약체결, 지급보증, 법령성, 해외보증이 필요한 업체
주거 안정 및 취업 교육훈련 관련 증권이 필요한 사람",C
"건설사, 설비회사",C
"과거에는 기업경영과 직접 관련이 있는 주주, 발주처(정부기관, 공기업, 민간기업 등) 둥과 같은 고객, 즉 Shareholder에 초점에 맞춰졌다면, 앞으로는 (요즘 기업경영의 최대 화두인) ESG경영에 적극 대비하고 대응하는 경영전략 차원에서 기업을 둘러싼 모든 이해관계자인 Stakeholder에 고객의 초점을 맞춰 나가야 할 시점임",B
"해외 건설 수주 건설사
해외 진출 희망 기업.",C
"종합건설사, 토공업체 등 파일 공사를 시행하는 곳",C
"개인고객(오프, 온라인)
특별한 업체(콘도, 리조트, 연수원, 기숙사)
건설사, 건축주
설계사무소, 인테리어업체
조달관련 민영, 국책사업 발주처
홈쇼핑 고객",C
"상시근로자가 있는 모든 기업
(민간기업, 병원, 어린이집, 유치원, 학교 등 근로자)
군부대 병사, 간부
공무원
사회복무요원
학교 – 학생들 ",C
"20~30대 예비 창업자 및 40대이상 3년이상 사업을 영위한 제조업 과 유통, 소프트웨어 공급개발업 등",C
"자동차 운전자(승용차, 화물차, 버스 등)",D
"토지주
건설사(토목, 건축, 설비, 조경), 감리회사, 설계사무소
수분양자(토지, 건물) 등",C
"건설사, 시행사, 인테리어 회사",C
"시행사
건설사
조합
인테리어업체
건축사 사무소
일반 개인 고객",C
"엠코, 현대건설 등 민간기업
서울시, 시, 도 군, 등 관급 공사
중견건설사",C
"건축사업 : 토지주, 시행사, 재개발, 재건축, 대행부지 등 민간입찰, 민간공모 사업과 정부기관, 조달청 입찰, 한국토지주택공사, 대구도시공사 등 정부기관 입찰 공모사업 (오피스, 교육/연구/병원, 주택/자체아파트 보급 등)
토목사업 : 조달청 입찰, 한국토지주택공사 등 정부/공공기완 입찰 등 (도로/교량, 철도/지하철, 환경/상수도)
기전사업 : 고도정수처리 급수 시스템, 자동제어, 냉난방 공조 등 공공 및 민간 입찰 사업 등
SOC사업 : SOC민간투자사업 중 민간투자방식 BTL 사업(BuildTransferLease)",A
"법인사업자
개인사업자",C
"종합건설 및 시행사
레저 시설 업체",C
"소비재 기업의 브랜드 전략 및 개발 컨설팅업무 및 B2B기업의 브랜드 전략 
대기업의 브랜드 개발 (농심, 동원, 하림)을 포함해서 중견 및 소상공인 등 다양한 스펙트럼으로 진행 중소기업의 경우 다양한 정부지원방법 (수출 바우처, RIPC 사업)을 통하여 프로젝트를 진행 ",C
"일반 소비자들을 대상으로 서비스를 제공하는 B2B 기업: 정보통신서비스 제공업자, 방송사, 학교, ICT 관련 기업 등
공공 프로젝트를 발주하는 정부 및 공공기관
ICT 서비스를 필요하는 개인 고객",C
"욕실용 건자재 생산 업체
백화점. 대형마트 등 오프라인 판매업체
SNS 판매대행업체
홈쇼핑",C
"현재 B to B에서 점차 B to C로 확대
(제약회사가 주 고객이나 점차 중간 유통업자(도매상, 약국)로 확대한 뒤 
이후 특화된 제품 개발을 통해 제품에 적합한 최종 소비자를 타겟)",C
"건설사 
서비스업
통신사 
자동차 부품업체 
골프장 ",C
"건설사 
서비스업
통신사 
자동차 부품업체 
골프장 ",C
국내외 APPAREL BRANDS/WHOLESALERS,C
"네일샵 
네일아트에 관심이 많은 일반인
10대여성
미용업종사자 ",C
"관공서, 공기업
건설사
설계사무소
민간투자사업 시행사",C
"법률서비스를 필요로 하는 기업, 공공기관, 개인",C
"아파트 입주를 원하는 모든 사람
아파트 건설을 원하는 조합. 토지주. 시행사
일반 건축물 건설을 원하는 건축주
공공공사 발주기관
건축물 시공을 위한 전문건설업체",C
"편의점, 매점, 슈퍼마켓",C
"1차 타겟 : 공간의 경험가치 극대화를 통한 새로운 사업을 전개하는 기업
2차 타겟 : 실제 시행하는 건축주, 시행사, 설계사무소
3차 타겟 : 공공기관 ( 자치단체, 한국디자인진흥원, 한국공예문화 디자인진흥원, 컨텐츠 진흥원 )",B
"금융기관, 신탁사, 토지주
예비 분양주",C
"건설회사
인테리어 회사
시행사, LH, SH, 지방공사",C
"법인사업자, 공무원, 은행원, 대기업 직원 등 고위직군 및 고신용군",C
"매월 정기적인 물량확보가 가능한 기업
부정기적 대량물량, 시즌에 물량이 집중되는 것은 바람직하지 않음 
대량 물량이나 매년 경쟁입찰을 함으로써 장기적인 공장가동율 유지에 불안전성을
주는 가능한 회피
고부가가치 박스 필요기업
당사의 강점은 고품질인쇄(금박, 형압)등을 활용한 싸바리박스 등",C
"건축주[실제 건축을 요하는 토지주]
건설사[건축주를 소개하거나 한프로젝트에 고동참여]
정부[현상설계참여]",C
"건설사
시행사
재건축, 재개발 조합
설비회사",C
"당사소재 거주자로서 차량소지자 및 운전자
당사를 차량으로 통행하는 자
위 차량의 동승자",D
"건설사, 설비회사(환경설비업), 설계사
시군단위 소각장, 민간운영 소각시설, 대기오염물질 발생 각종 사업장
제지공장, 시멘트 공장 등 제조공장.",C
"기간망 사업자 ( LGU+ )
정부 지자체 ( 조달청, 부천시청, 김포시청 인천광역시, 인천경제자유구역청 ) 
공기업 ( 김포도시개발공사, 부천도시개발공사 )",B
"기간망 사업자 (KT, SKT, LGU)
정부 지자체(행안부, 국방부, 인천시청, 조달청) 
공기업(한국철도시설공단, LH/SH공사, 인천국제공항공사, 인천항만공사 )
민간 건설사(현대, 삼성, 대우, 롯데 등 1군 건설사)
컨소 협력사 (대우정보통신, 코콤, KTT, 쌍용정보, 대신정보, 온리, 우주 ~) ",A
"정부 지자체 (조달청, 인천시청, 인천경제자유청, 인천서구청) 
공기업 (LH/SH공사, 인천국제공항공사, 인천항만공사, 수도권매립지공사 )
민간 건설사(인천지역 1군 건설사)",B
"건물 건축주, 각 도시군구 관공서, 지방개발공사, 민간 발주자
주차장 건설 사업 관련자, 강구조물 공사 발주처
현대건설 삼성물산 대림산업과 같은 시공사",C
"민간기업
관급공사
건설사",C
"인천국제공항, 한국철도공사, 교직원공제회 등, 정부/공공기관의 서비스에 국민의 품질 기대치가 높아진 만큼 신기술의 적용을 선도하는 매개체가 되었습니다. 이러한 고객의 높은 서비스 기대수준을 만족시키기 위한 공공기관이 주요 고객입니다.
KT, SKT, LG U+와 같은 이동통신사는 네트워크 업그레이드, IT 시스템 확장 등의 지속적인 투자를 하고 있습니다. 이러한 고객 요구 사항을 충족시키기 위해 티맥스소프트는 IT인프라 구축으로 다양한 시스템 및 애플리케이션을 통합하여 민첩하게 고객의 요구에 대응할 수 있습니다.
카드 가맹점 ,은행 및 증권사 등의 국내 금융 산업은 다양한 환경 변화와 압력에 직면하고 있습니다. 다양한 채널들을 통하여 24X7의 서비스를 제공해야 하기 때문에 IT 인프라 구축이 금융 산업에서 경쟁력을 확보하는데 중요한 요소가 되었습니다. 따라서 금융기업에게 티맥스소프트는 성공적인 비즈니스 파트너가 되고 있습니다.
삼성전자, POSCO, LG Display, 현대제철 등의 제조 기업에게 티맥스소프트의 제조 솔루션은 글로벌 표준을 준수한 통합 인프라를 제공합니다. 티맥스소프트는 개방되고 확장성 있는 IT환경을 통하여 제조 기업의 전체 프로세스 최적화를 제공합니다.",B
"건설사
설계사무소 
지자체(지방자치단체) 각 구청",C
"시스템욕실 제조업체
교구 및 사무용 가구 제조업체
물류창고 건설업체
건설회사
기타 설비업체",C
"뷰티 액세서리 수입 및 판매회사.
메이크업 브러시 수입 및 판매회사.
자체 뷰티 브랜드 소유 및 제품 판매회사",C
"건설사를 필요로 하는 제조사 및 건축주
설계사무소
건설발주 공공기관
외국계 건축주 등.",C
"백화점 (신세계)
면세점 (신세계 디에프)
쇼핑몰 (신세계 프라퍼티)
전문점 (분더샵_ 신세계)
교육/사무 (인재개발원 外_ 신세계)",B
"삼성전자, 삼성전기, LG전자 등 후공정에 초정밀 절삭, 가공을 필요로 하는 기업",A
"토지주,
금융권 등 투자자,
고급 주거공간을 분양 받고자 하는 사람들",C
"자동차 및 산업기계 부품 제조사
 : ㈜아이앤인더스트리,㈜화진금속,㈜가더스산업,㈜송원테크 등
 : ㈜엠알인프라오토 등",C
"국내 패션 브랜드 아웃소싱 전문업체
소비자/ 전문직여성, 가정주부",C
"완제품 제조사 (삼성/엘지/현대차/SK/코오롱 등)
1차 벤더 (부품 제조사 / 화학제품 제조사 / 필름 제조사 등)
2차 벤더 (하청 가공업체 / 코팅업체 / 라미업체 / 합성업체 등)",B
중국 및 동남아 한국 거주 모바일상 ,D
"건설사, 설계사무소, 설비회사, 주거용 건축주
형틀 전문업체, 철근콘크리트 전문업체",C
"기업의 자금 조달을 원하는 상장사, 비상장사 포함한 모든 기업체",C
"원도급 건설사
주거용 건물 건축주
공공조달(관공서)",C
"건설사
설계사무소
시행사(LH, SH, 포함)
수장공사업체, 외벽마감업체(돌 마감 등)",C
"미용 관련업 종사자
미용대학 재학 및 관련자",D
삼성그룹사 등 대기업,D
"리모델링을 원하는 주부나 가장
대량 납품이 가능한 도매(쿠팡, 로켓배송 납품용)",C
"건설사, 설계사무소, 토지주, 시행사
설비회사
주거용 건물 건축주
리모델링을 원하는 가정
메이져 온라인 유통회사 
유통 벤더 ",C
"정부 및 벤처펀드에 출자하는 기관출자자(은행, 연기금 등)",C
"당사는 건설현장에 건자재를 납품하는 회사로 민간건설사(GS건설, 대우건설, 롯데건설 등), 및 LH공사, SH공사, GH공사, 시행사 등 B2C 가 아닌B2B에 강한 회사입니다",B
"귀농을 생각하는 예비농업인
취미 혹은 부업으로 농업을 하고자 하는 비 전문 농업인
다양한 작물을 추가로 재배하고자 하는 전문 농업인",D
"중견기업
자산가
문화콘텐츠 제작사
연예업계 종사자",C
"일반 자영업자, 법인사업자, 재산제세 관련 매매자",C
"건설용 강재가공 제작사(ex 강관사/철구사/데크플레이트/롤포밍/컬러사 등)
 *정의/역량: 당사의 철강재를 구매하여 가공을 통해 건설사에 납품하는 회사
            당사와 공동으로 공사비 절감 강건재 상품을 개발하여 건설현장에 직접 납품
            당사와 공동으로 시행사~설계사~건설사에 기술영업을 통해 당사 강건재 제품이 설계도서 반영될 수 있도록 협업하는 파트너사",C
"건설을 수행하는 모든 관계자
건축주, 토지주, 시행사(신축, 리모델링)",C
"일반대학 및 전문대학의 교직원(교수, 직원 등)
공공 및 민간기관 연구소 직원(연구원, 행정직원 등)",C
"반도체장비제조사, 광범위한 기계제조사, 건설사, 인테리어업체, 기타 금속관련제조업체",C
"토목시공 전문 건설업체
터널 전문 건설업체 
광산업체
점보드릴 개인 차주",C
"건축설계, 인테리어 디자인 회사, 
건설사, 시공단종사  
페인트 유통 대리점
건자재 유통대리점
DIY 고객",C
"유가증권시장 및 코스닥 상장사
비상장주식회사 중 “주식회사 등의 외부감사에 관한 법률”에 따른 외부회계감사 대상 법인
소규모 법인 및 개인사업자
공공기관(준정부기관, 공기업, 기타공공기관)",C
"건설사, 전국대리점, 설계사, 교육청, 군부대 및 online구매고객",C
"신규자동차 구매 고객, 
중고차 구매 고객, 
자동차 정비 및 사고수리 고객
국내 자동차 보유 고객
타사 수입차 보유 고객
벤츠 보유고객으로 재 구매 고객",C
"토지주 설계사 시행사 건설사
설비회사
주거용 건물 건축주
리모데링 소비자",C
"토지주, 설계사, 시행사, 건설사
설비회사
주거용 건물 건축주
리모데링 소비자",C
"건축주
금융사
설계사
시행사",C
"현대,기아 자동차 1차VENDER , 쌍용자동차 1차 VENDER
공기청정기 제조사",C
"정부기관, 지자체
공공기관(정부투자기관, LH, SH, OO공사)
건설회사(개발이나 공공사업에 참여하는 건설회사), 개발회사",C
"1. 자동차 부품 社 (1차 고객사) : 현대모비스, 엘지전자, 하만인터네셔널, 쌍용차, 르노삼성차
2. 자동차 완성차 메이커 (2차 고객사) : 현대자동차, 기아자동차",B
"건설사, 설계사무소, 발주처",C
"설계사, CM사, 기관투자자
증권사, 보험사, 신탁사, 금융사
조합(재건축, 재개발, 리모델링 등), 지주사, 시행사 
실적 보유 건설사, LH공사, SH공사, 
일반 소비자, 정부기관 등",C
"건설사, 토지주, 시행사
토지개발을 고민하는 조합이나 건물주",C
"사옥용 건물 건축주
주거용 건물 건축주
근린생활시설 건물 건축주",C
"건설사, 설계사무소, 토지주, 시행사
병원, 업무용 오피스텔, 물류창고 건물 건축주
LH, SH 공공기관
국방부 및 국방과학연구소 등 국가기관",C
"건설사, 설비사, 시행사, 유통점",C
건설사 및 기업대표,D
"개인고객
반도체용 가스 유통 및 반도체 제조사",B
1군 건설사 / 2군 우량건설사 / 인테리어업체 / 비대면 잠재고객,C
"건설사
주거용 건물 건축주",C
"공공건설공사 수주 시공, 자체사업을 주로 영위하다 보니
공사를 발주하는 발주처 및 자체사업의 경우 인허가기관, 피분양자입니다.",C
"프랜차이즈 기업 본사
소상공인 자영업사업자
외식 브랜드 방문 고객",C
"해상 보험 전문 업체로서 소규모 수입 업체와 수출 업체
국제 운송을 전문으로 하는 국제 물류 주선 업체",C
"크린룸 공사를 원하는 기업체
리모델링을 원하는 기업체 및 개인 소비자
대기업",C
"레스토랑, 대형마트, 유기농전문점
호텔, 병원식당, 
환자, 고령인구, 웰빙족 등",C
"회계감사 및 Tax 외에 기업 M&A, 기업 분할, 자산실사, 내부통제제도 구축 등 종합경영컨설팅 서비스를 제공하고 있으므로 회사의 역량을 고려하여 자산 및 매출액 1천억원 이하의 중소법인",C
단체급식을 위탁 운영하는 제조업체,C
"건설회사 as 직원 및 시설물 관리업체 직업
관공서 시설관리팀",C
"가전 양판점(Best shop, 롯데 하이마트 등), 백화점, 할인매장
B2B고객(호텔, 공항, 학교, 군부대, 은행 및 공공기관)
자동차 완성업체(현대, 기아, BMW, Ford 등)
이동통신회사(SKT, KT, LG U+)
국외 60여개 국가, 상위에 해당되는 업종의 약 20,000여개의 고객 수 확보
(Best Buy, Home depot..)",A
"초 ,중, 고등학교(급식)
영.유아 시설(급식)",C
"건설부문 
- 건설사 설계사무소 등 단열, 방수, 소음진동 분야의 컨설팅 및 마케팅이 필요한 고객
화학부문
- 우레탄, 우레아의 응용이 필요한 고객
- 고무, 플라스틱 등 폴리머 응용이 필요한 고객",C
"약사, 약국 
일반소비자, 도매상
H&B 등 유통업체, 할인점 유통업체, 편의점 유통업체",B
"절세가 필요한 기업
가업승계 니즈가 있는 고객
개인 자산관리가 필요한 고객
금융 .부동산 투자 등 투자에 관심있는 고객",C
"장비제조업체(태양광(인버터, ESS, PCS, 접속반), 풍력, 반도체장비, 식품장비사, 선박회사 등)
태양광: 윌링스, 다쓰테크, LG화학, 삼성SDI, 대연씨앤아이, 플라스포 등)
반도체장비: 주성ENG, 세메스, 
식품장비: 대한기계, 우일FA, 협진기계
선박회사: 현대중공업, 삼성중공업",A
"해외건설수주 건설사
해외진출희망기업",C
"건설사, 대리점, 일부 B2C 그룹",C
"상업용, 업무용 건물의 건축을 필요로 하는 공공기관, 조달청, 민간 법인 및 개인(토지주, 건축주)
주거용 건물 개발을 추진하는 시행사, 조합, 법인 및 개인
도로, 철도, 교량, 터널 등 인프라 건설을 필요로 하는 공공기관, 조달청, 민간 투자기업",C
"신사업을 통한 기업의 성장, 지배구조 개선 구조조정 등을 통한 조직의 성과 개선, 영업/마케팅/물류/생산 등 각 기능별 성과 개선을 모색하는 다양한 산업의 기업체 및 공공기관
상기 조직의 최고경영진 및 각 기능별 조직의 리더",C
"개인 여신 및 수신 고객
기업여신 고객
온라인 플랫폼(토스,카뱅 등)
투자사 (사모펀드)
방송사(현 케이블 방송 광고 중)",C
"제조업체
관공서 및 컨설팅 업체
프랜차이즈 업체
종이 관련 인쇄 및 제작물이 필요한 곳",C
"해상 보험 전문 업체로서 소규모 수입 업체와 수출 업체
국제 운송을 전문으로 하는 국제 물류 주선 업체",C
"현대자동차, 코오롱, 현대중공업, 두산중공업",C
"건설사
시행사
분양대행사
인테리어회사",C
"건설업계, 회계업계, 보험업계, 개인, 주부
중소기업, 대기업 등 명절에 선물을 보내거나 꽃배달을 이용하는 모든 업체",C
"건설사, 설계사무소, 시행사
인테리어 업체, 설비업체
집합건물 건축주, 운영사",C
"건축구조사무소, 안전진단회사, 건축설계사무소
건설사(고층아파트, 주상복합)
 공공건축물 관리주체(각급 지자체)",C
"건설사, (종합, 전문) 건축설계사, 엔지니어링사, 
건설관련기관, 공무원,. 
일반인,  ",C
초중고 학생들이 영어 환경이상으로 영어 교육을 목표로 둔 중산층 이상의 고객,D
서울시내버스회사로서 고객감동의 서비스의 목표로 안전한 시내버스를 목표로 합니다,E
"건설사, 설계사, 공공기관 발주처",C
"출산 후 6개월 이상의 자녀를 둔 부모 (플렉사 브랜드)
초등학교 3학년 이하의 자녀를 둔 부모 (옥스포드 브랜드)
30대 이하의 젊은 청년들 (내셔날 지오그래픽 브랜드)",C
"50인 이상의 중견기업
안전보건관리자 근무자 배치 기업
위험 요소가 많은 기업
위험물질 사용 기업
첨단산업 (에너지, 배터리 외)",C
"변호사 , 로펌
병원, 한의원
공공기관, 지자체 
화장품제조 업체 ",C
"해외로 출국하는 비즈니스 및 관광 여행자
국내 관광 입국한 외국인
중국인 도매상
면세점에 신규 진입하려는 기업  ",D
"기존 리서치 회사
마케팅을 실시하는 B2C 기업",C
"㈜ 피앰아이
기존 온라인 리서치 회사
㈜ 롯데 멤버스",C
"1. ㈜ 피앰아이
2. 기존 온라인 리서치 회사
3. ㈜ GS 멤버스",C
"한국 농수산물 유통공사, 농림부, 조달처
오뚜기식품. CJ제일제당. 동방유량
중견 식품제조업체. 식자재 도매업체
중간 농산물도매상. 시장 착유유통업체
최종 소비자",B
"시행사,도시개발자, 건축가, 건축시공사",C
"KT클라우드
현대 모비스
현대 엘리베이터
기아차
공공기관
건설사",C
"엘칸토 : 고가/고급 지향형 35~55대 남녀고객
L by엘칸토: 현대적인 감성과 실용성을 지향하는 25~45대 남녀
인텐스 : 빠른 쇼핑과 가치 소비를 추구하는 25세~35세 E-제너레이션 여성고객",B
"분양자(주거 또는 투자목적)
시행사(도급 및 설계 변경 등을 통한 이익 실현)",C
"건설사, 주거용 / 근린생활용 건물 건축주, 인테리어 회사, 설계 사무소",C
"결혼을 앞둔 신랑신부, 혼주, 가족
행사를 준비하는 의상부분
돌잔치, 시상식 및 파티행사
은혼식의상, 졸업의상, 사진 촬영 의상",C
"건설사, 전문건설사, 설계사무소 
인테리어업체, 건축자재 대리점, 취급점.
주거용 건물 건축주.
리모델링을 원하는 소비자.",C
"종합건설회사(예를 들어 삼성건설,대림산업,롯데건설…)",C
"토지주
LH나 SH등 공공 택지를 분양하는 공기업
금융기관(은행,증권,자산운용 등)",C
"아웃도어 브랜드.스포츠 골프브랜드. 
수출 회사
샘플 작업이 필요한 프로모션,학생, 주부
반려견을 자식처럼 생각하는 사람.
중산층이상의 반려견을 키우는 사람
직장인 독신",B
