비용구조,label
"인건비, 영업비, SW 개발비, 시제품 제작비, 시제품 분석 및 인증비용
건물 임대관리비, 관리비
서버 및 네트워크 보안 관련 유지 비용
광고 및 홍보물 제작비용, 기자재 설비 투자비",C
"원부자재 구매 비용
설비투자비, 기술개발비, 몰드개발비
공장 및 사무직 인건비, 영업비
건물 및 기계 감가상각비",C
"공사 재료비, 인건비 및 경비(현장 근로자 급여, 숙박비, 차량유지비)
일반관리비(급여, 복리후생비, 접대비, 차량유지비, 지급임대료, 각종수수료 등)",E
"인건비
임대료
물류비
영업비",E
"인건비, 외주비, 판관비, 복리후생비, 접대비",E
"인건비
재료비
광고비.물류비.설비투자비.개발비.임대료건물 감가상각비.",C
"장비 구매비용
수술 및 진료에 필요한 약품 및 소모품 구매
설비투자비
수술재료대 (가장 큰 액수를 차지)
병원 임대료
인건비 (직원 40명)",D
"원재료비, 노무비, 시공비, 금융비",E
"원재료비, 노무비, 물류비",E
"노무비, 설비투자비, 기술개발비, 감가상각비, 물류비",D
"원재료비, 노무비, 설비투자비, 기술개발비, 감가상각비, 물류비",D
"원재료비, 노무비, 물류비, 설비투자비, 기술개발비, 광고비, 감가상각비",B
"원재료비, 노무비, 시공비",E
"원재료비, 노무비, 물류비",E
"원재료비, 노무비, 물류비, 설비투자비, 기술개발비, 감가상각비, 금융비",C
"원재료비, 판매관리비, 인건비, 시설장치비, 연구개발비",D
"원재료비, 노무비, 설비투자비, 기술개발비, 감가상각비, 물류비",C
"원부재료비, 노무비, 감가상각비, 물류비, 판매관리비",E
"원재료비, 노무비, 설비투자비, 감가상각비",D
"원재료비, 노무비, 물류비, 판매관리비",E
"원재료비, 노무비, 설비투자비, 기술개발비, 물류비",C
"원재료비, 금융비, 노무비, 시공비, 설비투자비, 기술개발비, 물류비",C
"상품구입비, 노무비, 물류비, 판매관리비",E
"원재료비, 노무비, 시공비, 설비투자비, 기술개발비, 물류비",C
"토지비
공사비
설계 등 인허가비
분양마켓팅비
금융비용
인건비등 일반관리비",E
"인건비, 개발비, 재료비, 광고비, 물류비, 임대료, TooL 개발비",A
"인건비(내부,외부), 사무실임대료, 레탈장비 사용료, 데이터 서버운영비,기타 등",E
"원자재비. (60%차지)
외주가공비
외주업체 노임
인건비
본사관리비(일반관리비 : 임차료, 관리비, 차량유지비, 출장여비 등)",E
"인건비, 
대리점, 물류임대료
배송비용",E
"인건비
물류비용
일반관리비
상품매입비용",E
"인건비 및 시설운영비, 자재구입비, 설비투자비, 기술개발비",C
"인건비
재료비
기술개발비
설비투자비
설비 운영비(전기 등)
건물 및 기계 감가상각비",C
"재료비, 인건비, 시공비
기술개발비, 사무실운영비
영업비",D
"설비투자비, 금형개발비, 
인건비, 시공비, 재료비, 물류비용, 영업비
건물 및 기계 감가상각비
영업비",C
"원료 물품대
인건비
물류비용",E
"재료비
노무비
외주비
장비비
본사관리비등 경비",E
"제품개발비, 관리비,몰드개발비
물류비
사무실 임대료
건물,기계상각비
인건비
재료비 ",C
"인건비, 의료재료비, 병원 관리비
감가상각비, 관리비, 청소용역비 ",E
"인건비, 영업비용, 데모 장비 구매/렌탈
데모 장소 대관비용, 데모 디스크 제작 비용, 3rd Party 개발 용역비",E
"동문회관 유지비
  - 동문회관 관리비, 사무실 탕비용품, 소모품 등 구매비용 및 PC비용
  - 강당 관리비, 음향시설 설치 유지 보수비 
  - 동문회관 직원 인건비
 동문회보 발행관련
  - 회보 제작비 (인건비 포함)
  - 회보 발행비 연간 정기 간행물 등록 우편 발송비
  - DM 비 인건비 및 봉투입 작업 및 발송 작업비
  - 광고수주 건은 광고대행사 외주 후 비용지출이 아닌 수입원이 됨
 동문회 홈페이지 관련
- 홈페이지 서버 구축비 및 유지비
- 홈페이지 DB데이타 관리 유지비",D
"인건비
사무실임대료
4대보험료.
프로그램사용료",E
"재료비, 노무비, 물류비용, 영업비용
개발비 (매출의 5%), 기타비용",D
"인건비, 재료비, 물류비용
설비투자비, 설비유지보수비, 몰드제작비
건물 및 기계 감가 상각비",C
"사무실임대료
운영비
통신비
광고 홍보비
관련 프로그램 사용료
협회공제비",C
"인건비
운영비
지게차수리비
기계수리비",E
"항공기 구입비 또는 리스비용
인건비
시설/설비 투자비
운영비, 홍보비",C
"재료비, 인건비, 광고비, 물류비
제품개발비, 설비투자비, -운영비, 영업비
건물 및 기계 감가상각비
연구개발비, -차량관리비
온라인 판매 수수료
오프라인 판매 수수료",B
"인건비, 시공비, 재료비, 광고비, 물류비용
영업비,
설비투자비, 기술개발비, 금형개발비, 
건물 및 기계 감가상각비",A
"포털사이트, 중앙언론사 관련 협업 
인적자원 비용
뉴스화 등 SNS 경상비
전국 기관, 지자체 등의 취재에 따른 비용",E
"제품 선정, 시장분석, 유통, 소비자 공급까지 발생하는 비용 등",E
"인건비, 재료비, 설비 투자비, 외주 가공비
금형제작, 사출, 고속가공, 레이저 필름가공, 비전검사",D
"시공비, 자재비, 인건비, 설계 및 감리비, 보험 및 기타수수료
건설 면허유지비, 택지(용지)매입비, 광고홍보비, 사무실임대료, 기타법인운영비
금형제작, 사출, 고속가공, 레이저 필름가공, 비전검사",C
"인건비(내부 외주)
운영비
영업비
유통비용",E
"인건비, 시설비, 자재구매비, 물류비용
사무실 임대료
차량 유지비",E
"인건비, 외주용역비, 장비 및 프로그램 구입비
사무실 임대료, 영업비",E
"인건비, 사무실임대료, 일반관리비",E
당사의 가장 중요한 비용은 인건비와 재료비입니다 가장 큰 비용은 재료비이고 다음이 인건비 그리고 감가상각비 등 입니다.,E
"인건비(상여포함)    
사무실임대료  
물류비용
광고 및 홍보비
운영비
업무 추진비(영업)
업체 리베이트 지원비
A/S 센터 운영비
차량 유지비
이자 비용",C
"인건비
사무실임대료
운영비
영업비",E
"인건비, 시공비, 재료비, 기술개발비",D
"인건비, 시공비, 재료비, 기술개발비",D
"인건비
자문비 (회의비 포함)
외주비
출판 인쇄비
협회비 (각종 협회 가입 및 정기회비)
사무실 임대료",E
"인건비, 
가설비계공사 시공비
외주비 (운송료, 가설자재 정리 및 보수) 
야적장 부지 및 임대자산 감가상각비",E
"인건비, 
가설비계공사 시공비, 
외주비 (운송료, 가설자재 정리 및 보수) 
야적장 부지 및 임대자산 감가상각비",E
"토지비, 인건비, 시공비, 설계비, 인허가비, 광고비
사무실 운영비, 접대비",B
"운영비, 건물 및 설비 감가상각비
인건비, 재료비, 광고비, 물류비, 기술개발비, 설비투자비",B
"인건비
제품구매비
물류비
사무실임대료
차량렌탈료",D
"수입물품(재료비)
물류비용
관리비
인건비
사무실임대료
금형개발비.",C
"인건비
개발비
건물유지 등 고정자산 감가상각비",D
"재료비
인건비
운영비
물류비
연구개발비",C
"인건비, 재료비, 물류비, 포장비
설계비용, 금형제작비
영업비
건물/기계 감가상각비용\",C
"재료비, 물류비용, 관리비, 인건비",E
"인건비
운영비
영업비
광고 및 홍보비
기술 개발비
금형 투자비
설비 투자비
물류비",C
"재료비,가공비,물류비,제조설비 감가상각비,설비투자비",D
"인건비, 물류비, 교통비
사무실, 창고, 영업차량의 임차료",E
"인건비 (내부 외부)
자재비
운영비
공장 임대료
영업비
포장비
물류비",E
"제품 제조 시 개발 용역 및 생산비
전자 부품 및 모듈 sourcing시 구입비
인건비 및 중국 지원 팀 운영을 위한 모든 경비",E
"인건비, 재료비, 설비투자비.
기술개발비, 연구개발비.
건물 및 설비 감가상각비",C
"A사, B사
-인건비, 원자재비 
 건물 및 기계 삼가상각비
 설비투자비, 몰드 및 장비개발비",C
"인건비, 재료비, 경비
지급이자, 홍보비
감가상각비, 분양대행수수료, 복리후생비",D
"인건비
자재비
보험료
소프트웨어구입비
하드웨어구입비
영법비
사무실관리비",E
"인건비 (대부분), 기술개발비, 사무실임대료, 건물 및 장비 감가상각비
운영비, 영업비, 광고 및 홍보비",B
"설계원 인건비
감리원 인건비
사무실 임대료
장비 및 엔지니어 학.협회비 등 운영비
영업비",E
"인건비
운영비
영업비",E
"광고 및 홍보비
자동차용품 비용",D
"인건비, 외주비용, 사무실 유지비용, 영업비",E
"상품구입비
인건비
물류창고운영비 및 물류비
상품개발관련 비용
금융이자
판매 프리렌서 판매수수료 ",D
"매출총원가 
직접비 : 재료비, 노무비, 판매경비, 판매수수료, 보증수리비 등 
간접비 : 노무비, 경비, 일반관리비
영업외 수익/비용
세전이익 ",E
"인건비, 원자재비, 경비
물류비, 광고비, 판촉행사비
설비투자비, 금형개발비, 임대수수료",D
"인건비, 재료비, 물류비, 배송차량 유지비
금형개발비, 설비투자
차량, 기계, 감가상각비",D
"인건비
연구개발비
감가상각비
교통비
서버 유지비",D
"재료비, 노무비(직접/간접포함), 운영비, 판관비, 그룹웨어 서버운영비
금융비, 자사 건물 및 기계 감가상각비 / 설비투자
연구개발비, 필요시 라디오 등 광고 홍보비",C
"기술연구 인력개발비
급여
유형자산 감가상각비
외주가공비
판매비 및 일반관리비",D
"인건비, 시공비, 재료비, 광고비, 물류비용
설비투자비(LPG시설지원시), 기술개발비, 
측정기계 구입 및 감가상각비
차량유지비, 식비, 영업비
접대비",D
"인건비, 재료비, 물류비용
공장임대료
기계 감가상각비",E
"재료비, 인건비, 물류비, 복리 후생비
설비 투자비, 개발비, 자동화 장비
사무실임대료, 감가상각비(건물, 설비)",D
"제조경비(노무비, 기계임율) 즉 인건비, 재료비, 물류비, 설비유지보수비, 약품, 기타 
건물 및 시설, 설비 감가상각, 연구개발비, 판관비등",D
"직접비:가공비, 구매품, 인건비 (설계비용, 제작비용), 기술개발비용(외주개발 및 내부개발)
간접비 : 사무실 임대료, 전기요금, 판관비",E
"제품개발비, 광고 홍보비, 물류센터운영비, 인건비
대리점 프로모션비, 교육컨설팅, 기업컨설팅비
영업비(품위유지비, 주유비, 차량유지비, 식대 등), 전국대리점 세미나 비용",B
"인건비, 임대료, 운반비, 기타 일반관리비",E
"인건비, 재료비, 운반비, 물류비, 창고관리비
설비 투자비, 기술인력 교육 훈련비
사무실 임대료 
출장비 및 복리 후생비",E
"인건비, 광고/모델 및 홍보비
제품원료비, 부자재비, 물류비
공장 설비투자비, 연구소 기술 개발비
사무실 임대료",B
"자재비
운반비
영업비
운영비",E
"인건비, 물류비, 사무실관리비, 기타",E
"인건비, 재료비, 광고비, 물류비
영업비, 사무실 임대료 및 관리비
렌탈장비 사용료
자재비
세금",C
"인건비, 재료비(수입대금), 물류비용
사무실 임대료, 타일 디자인 구입비용
영업비, 판촉비",E
"인건비, 영업비, 운영비, 유통비용, 광고 및 홍보비, 사무실임대료, 기술개발비",B
"인건비, 판관비, 접대비",E
"인건비, 물류비, 사무실 임차료, 창고 임차료, 일반관리비, 영업비",E
"인건비
프로그램 개발비 (시설물 유지관리 프로그램)
프로그램 구입비 및 사용료 (친환경 인증관련)
사무실 임대료",D
"인건비, 연구개발비, 영업비
사무실임대료",D
임대료 / 인건비 / 물류비 / 영업비 / 운영비 / 광고비용 외,C
"운영비
영업비
광고 및 홍보비
데이터 서버 운영비
인건비
소프트웨어/하드웨어 구입비",C
"제조원가
인건비, 운반비, 지급수수료, 광고비",D
"사무실임대료 및 전시장 임대료 고정비, 고객판촉비, 인건비",E
"원재료비(Parts)
노무비(제품 조립, 머시닝, sheet metal, 도장에 대한 직접인원 비용)
간접재료비(가스, 도장 분말 등)
공장 임차료
기계장치 등 고정자산에 대한 감가상각비
볼트 너트 와셔 등 소모품비
제품, 원재료, 재공품 운반에 대한 운반비
외부 창고 임차에 대한 지급수수료
제품 포장에 대한 포장비
스크랩 폐기에 대한 지급수수료
제조 라인 외주에 대한 외주인건비
일용직 사용에 대한 외주인건비
생산 품에 대한 테스트에 대한 지급수수료
당사의 없는 공정에 대한 외주가공비용",E
"인건비 57%
자재비 35%
장비구입비 및 감가상각비 3% 
물류비용 2%
창고, 사무실임대료 1%
기타등 2%",E
"건물 임대료
인건비
광고비
물류비용
초기 시설투자비용
기계 및 감가상각비",C
"건물 임대료
인건비
광고비
물류비용
초기 시설투자비용
기계 및 감가상각비",C
"제조비용 (원재료비, 인건비 고정비)
개발비용 (설비 투자비용, 각종 기술 개발 관련)
사무실 및 공장 물류센터 운영비용
외주업체 관리비용",D
"인건비, 시공비, 외주비, 자재비, 현장관리비, 안전관리비, 물류비용
설비투자비, 광고비, 기술개발비, 하자보수비, 소송비
현장사무실임대료
수주영업비",B
"원자재(철강)
제조경비/인건비/물류비용
설비투자비/건물 및 기계 감가상각비
ERP운영비용",D
"인건비 재료비 노무비 
기타비용(판관비, 홍보비, 기술개발비, 임대료 등)",C
"물품구입,
인건비",E
"데모장비 구매비용(선 투자)
렌탈장비 사용료
인건비(내부 외주)
운영비
영업비
광고 및 홍보비
유통비용
설비투자비
데이터 서버운영비",B
"OEM 제조경비, 인건비, 원료비, 영업비
물류비, 연구개발비, 용역비, 상품구입비",C
"인건비 (외주 포함)
사무실 임대료
광고비
물류비
기술개발비",B
"인건비
조사분석비용
시스템 비용: 운용지원을 위한 시스템 개발 및 유지비용, Trading 및 펀드회계(Operation) 비용 국내외 조사분석을 위한 각 시스템 및 정보사용료, 해외 유수업체 등을 통한 자문비용
마케팅 활동비, 
사무실 임대료 등의 비용",E
인건비 위주 연구개발비 및 첨단기자재 설비투자비 및 대외출장 및 회의 비용을 사용한다,E
"인건비, 사무실 임대료
내역 외주비
필요 경비
영업비, 광고 및 홍보비, 기술개발비",B
"원재료비, 인건비, 물류비
설비 투자비
영업소 임대료
연구 개발비, 건물 및 기계 감가상각비",C
"인건비, 기술개발비, 직원교육비
프로젝트 운영비(사무실임대료, 공과금 등 각종 운영비)
본사 사무실 임대료
영업비",D
"인건비, 기술개발비, 영업비
사무실 운영비(사무실임대료, 공과금 등 기타 비용)",D
"영업비
운영비
샘플비
유통비",E
"인건비, 마케팅비용
오프라인 영업점 시설 운영
데이터 서버운영비, 사무실임대료
예금수신금리 차이",D
"토지 매입비
개발관련 선투입비
단지 설계 및 인허가 관련 비용
착공 후 투입 공사비
분양관련 홍보비
준공 이후 하자관련 유지보수비",B
"인건비
외주개발비
데모장비 구매비용(선 투자)
운영비
영업비
데이터 서버운영비",D
" 인건비, 시공비, 재료비, 광고비, 물류비용
 설비투자비, 기술개발비, 몰드개발비, 
 사무실임대료
 건물 및 기계 감가상각비
 인건비(내부 외주)
 운영비, 영업비, 홍보비
 유통비용
 설비투자비",A
"인건비
금융PF 이자
광고비
분양대행비
시공비
운영비",D
"인건비, 광고비, 사무실임대료, 사무기기 렌탈, 사무실운영비, 기타",D
"컨설팅/개발인력/영업인력/연구소/관리인력 인건비
판매를 위한 시스템 인프라 장비 (IBM/HP/CISCO등) 판매물품비
통합 유지보수를 위한 시스템 인프라 장비 데모, 개발장비, 서버자재/부품, 구매, 관리비
지사운영을 위한 사무실 임대료, 본사 운영비 등",D
"인건비, 시공비, 재료비
설비투자비, 기술개발비, 
사무실임대료
건물 및 기계 감가상각비",D
"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
"인건비, 재료비, 노무비, 광고비, 물류비용
설비투자비, 기술개발비, 몰드개발비, 
사무실임대료
건물 및 기계 감가상각비",A
"모든 기자재의 구매비요
광고 및 홍보비용
물류 및 유통비용
인건비
영업비
사무실 임대료 및 감가상각비",D
"고정비용 : 임대료, 상가관리비, 인건비, 광고선전비, 감가상각비
변동비용 : 재료비, 운영비, 물류유통비, 영업비, 기자재비 등",D
"공장 및 신규라인 설치비
공장부지 및 설비 선투자에 따라 금융비용
원재료비, 인건비, 부자재비
영업비, 광고선전비, 설비 유지비용",D
"재료비(원자재 구입비용, 상품 구입비용)
노무비(급여 및 퇴직연금)
제조경비(전력비, 감가상각비, 복리후생비, 소모공구비, 외주가공비)
판매관리비(각종 세금, 경상개발비, 지급수수료)
영업외(이자비용, 기부금, 잡손실 등)",D
"광보 및 홍보비
장비 투자
데모 장비
외주 인건비",D
"재료비, 인건비, 시공비, 물류비, 기술개발비, 설비투자비
건물 및 기계 감가상각비
전시장관련 흥보비, 영업비",B
"인건비, 사무실 운영비(전기료, 건물 유지비, 장비비, 소프트웨어비, 세금)
프로젝트 운영비(외주비, 물품구입비, 재료비 등)
영업비, 홍보비, 설비투자비",C
"인건비, 기술개발비, 서버 임대비, 시스템 Tool
전용회선 사용료
사무실 임대료",D
"인건비, 광고비, 영업비
사무실 임대료
데이터서버 운영비",D
"시스템 욕실시공으로 인한 건설공사원가
건설재료 등 판매로 인한 건설재료 매출원가
비즈니스 유지 및 관리를 위한 판매비와 관리비
임직원 급료 및 퇴직금 등 인건비성 항목
임직원 교육훈련비 등
시스템 욕실 유지 및 관리를 위한 A/S 비용",E
"인건비, 교재제작비, 강사료
사무실임대료, 키워드마케팅비, 세미나진행비
개발비(콘텐츠) 및 감가상각비
복리후생비, 교통비(출장비)",D
"인건비 : 90%
기타비용 : 임차료, 보험료(손해보상), 수수료 등",E
"인건비
하드웨어 장비 구매비
사무실 임대료
영업비, 광고 및 홍보비
유통비용
설비투자",B
"인건비
개발장비
외주 인건비",D
"인건비와 외주비 (기계, 전기, 소방, 토목, 조경, 구조)
: 전체 비용의 70%이상
각종 비용 : 컴퓨터 장비 및 소프트웨어 구입비, 임대료 등",E
"인건비, 시공비, 재료비, 운영비, 임대료",E
"인건비, 재료비, 접대비, 홍보비, 임대료, 일반관리비",D
"개발비, 금형투자비, 생산설비
인건비, 재료비, 
사무실 임대료, 홍보비 등",B
"인건비, 원부자재재료비, 물류비, 광고비
기술개발비, 몰드 및 금형개발비
영업판매, 금융권 대출이자, A/S처리비용",A
"인건비, 광고홍보비, 기술개발비, 투자비, 교육비, 사무실 관리비
운영비, 영업비, 데이터 운영비",B
