수익원,label
설계결과물의 제공을 통한 용역비,D
"제품 판매 대금 수령
인쇄회로기판 제조용 표면처리약품 판매 수익
반도체 제조용 표면처리약품 판매 수익
일반 각종 기능성약품 판매 수익",A
"경쟁입찰을 통한 계약으로 공사대금 수령
하자율 최소화로 사후 관리비 적정 투입",C
" 기존고객의 지속적인 관계를 통한 용역수행에 대한 용역비용 수령
 경쟁입찰을 통한 용역계약으로 인한 용역대금 수령
 수의계약을 통한 용역대금 수령",C
"제품 판매로 대금 수령
공공입찰로 제품 대금 수령
수의계약을 통한 제품 대금 수령",C
"골재 납품을 통해 판매 대금 수금
원가로 내부(자사) 공급을 통한 내부이익 극대화
운영의 합리화를 통한 효율성 제고(생산성 향상 외)",B
"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
수의계약을 통한 공사대금 수령",C
"대출 발생을 통한 이자 수익
신용등급 상향을 통한 조달금리 감소로 마진율 증가",C
배관납품 판매를 통한 수익창출,D
"제품 판매
서비스 용역 매출",C
"반도체 부품 유통 margin
제품 개발에 따른 개발비
Board(Solution business) 생산 및 공급에 따른 module 판매
판매장려금",A
"현장 납품을 통한 수익
자재 구매비용 절감을 통한 이익 증대
전시장 내방 고객 매출",B
"급식센터 판매대금
홈쇼핑 수출 온라인판매 대금",C
다양한 고객의 개발요청한 제품을 제조 및 납품함.,D
"가장 큰 매출은 쇼핑몰을 통한 해양심층수가 크고, 이익율 측면에서는 특판을 통한 대량 납품과 전자상거래 꽃배달의 수익율이 좋음",B
경영컨설팅 수수료,E
"Management Fee
License Fee
Production cost",C
"원료 물품대
수입 및 오퍼 관련 수수료",C
"판매 대금 수령
구매업체와의 협상을 통한 원가인하후 판매 마진",C
"제품 (보일러 및 환경설비) 판매 및 공사비 수익
설치공사 수행을 통한 공사비 수익
문제점 해결 방안을 찾아 제시하는 설계 서비스 제공 수익",B
"수의계약을 통한 납품 대금 수령
조달청 다수간 업체 게약을 통한 납품 대금 수령
경쟁입찰을 통한 계약으로 납품 대금 수령
동종업체에게 자사 방송장비 단품 판매 수익
음향 설계(음향 시뮬레이션)를 통한 음향 컨설팅비용",A
대출중개를 통한 금융사 중개수수료 ,E
매달 부품취급 처리건수를 통한 다도급비 수령,D
"자재공급을 통한 자재대금 수령
메이커와의 협상을 통한 매입 가격의 네고
일정 제품(특수)의 판매를 통한 메이커의 인센티브 수령",B
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령,C
"신규점포 개발로인한 수익
물류제조 및 납품으로의 수익
공산품 대납으로의 수익",B
캠핑 용품 납품을 통한 대금 수령,D
고객사 입찰을 통한 공사 수주 납품 수익,D
제품판매 수익,D
"비영리를 목적으로 만들어짐.
수익은 대리점에서 얻으며, ERCO 한국지사는 본사에서 예산을 확보 받아 운영.",E
차량 판매로 인한 수입,D
"사입 및 위탁 제품 판매 수익
자체 제작 상품 판매 수익",C
"시공후 공사대금 수령
자재유통후 마진
디자인컨설팅 비용수익",D
"낙찰을 통한 공사수주로 인한 공사대금 수령
민간공사를 통한 공사대금 수령",C
"제품 제안 및 수의계약을 통해 계약
계약된 프로젝트 엔지니어링을 통해 완료 및 대금 수령",C
폐기물 처리비와 스팀판매 및 전력판매,C
"화장품 일반 소비자 제품 판매 수익
관계사 의료기기 체험관 납품 판매 수익",C
"원목가구, 소파 등의 온,오프라인 판매",C
"공공공사 수주로 현금 확보
재개발,재건축 분양을 통한 초기자금 확보
신탁사의 안정적 수주",B
상품 판매,D
"VE 를 통한 원가 절감 및 설계변경
담당자 영업",D
마케팅 채널을 통한 제품 판매수익,D
마케팅 채널을 통한 제품 판매수익,D
"매체사의 역할을 통한 광고비 고정수익 및 광고성과에 따른 성과수익 (CPA, CPS)
기업인수 후 보유지분에 따른 배당금
자동차 관련 일부 용품 직접 생산 및 판매",A
"순이자 마진
투자상품 등 판매, 수탁 등 수수료
투자이익(은행자산의 국.내외 투자 등에서 얻는 수익)",B
"기업과의 자문계약을 통한 자문료
정부기관의 지원사업 주관기관으로 받는 사업비",C
"제품 판매를 통한 판매 대금 수익
구독서비스를 통한 대금 수익
렌탈 비용 소모품 유지 보수 비용 수익 ",B
"고객의 수신, 여신, 외환거래의 이자 및 수수료와 비이자 수익(펀드, 방카 등)",B
"제품의 개발 대금 
개발 후 양산품 대금",C
"회계감사 수수료
세무조정 수수료
각종 컨설팅 수수료 : M&A 자문, 각종 평가 및 실사 외",C
제품 제조 및 판매에 대한 수익,D
"이차익 (예정금리차 대 실제금리 차익), 비차익 (예정비용 대 실제비용 차익), 투자손익, 
사차익 (예정사망율 대 실제사망율)",B
"이자수익
수수료수익",B
거래처 매월 식사내역서에 대한 수익,D
"아파트 분양을 통한 수익확대
수의계약을 통한 공사대금 수령
설계변경을 통한 원가 절감 수익확대
경쟁입찰을 통한 계약으로 공사대금 수령",A
온라인 판매,D
"공정한 손해사정을 통한 보험금 수령시 그에 대한 수수료
보험사 업무계약으로 인한 손해액 평가, 실무를 통한 수수료",B
"각종 물류비용
백화점 물류 및 홍보 비용
대형마트 배송 비용",C
계약 수수료,E
"열처리 장비 제작 납품으로 수익창출
노후 장비 A/S 및 부품 공급
해외 수입장비 A/S 
기술 교육 및 서비스",B
"일반경쟁입찰, 제한경쟁입찰, 지명경쟁입찰, 수의계약 등 다양한 방법으로 입찰하여 낙찰을 통한 공사수익
설계 변경을 통한 총공사비 증액 및 원가절감
건설장비 임대수수료",B
"경쟁입찰이 대부분이며 기성에 따라 분할하여 공사대금을 현금으로 수령함
수금지연 등 부득이한 경우 공사대금 대신 당사 제품을 공급한 건물의 부동산을 대물로 수령 
긴급 발주 수의계약은 공사대금을 선 수령 후 제품제작",B
"건설 납품공사계약을 통한 공사대금 수령
대리점 계약을 통한 차익 수익
제품 판매 수익",B
"인쇄 제작관련 대금과 디자인에 대한 대금
광고 제작비 대금",C
"사업 사전타당성 연구 및 기본계획용역 대금 
건축설계 및 건설사업관리용역 대금",C
"영화관 운영 매출(상영매출, 매점매출)
영화관 부대매장 운영(직영, 임대) 매출
영화관 광고(스크린광고, 홀매체, 홈페이지, 어플리케이션) 매출
뮤지컬 극장 운영 티켓 매출
영화관 제휴관 관리수수료 매출",A
제품 판매 및 공사비 수익,C
"대기업 OEM 납품 대금
건설사, 시공사 자재 공급 대금
산업용 에폭시 자재 공급 대금
대리점 판매 대금",B
"대기업 OEM 납품 대금
건설사, 시공사 자재 공급 대금
산업용 에폭시 자재 공급 대금
대리점 판매 대금",B
"계약을 통한 자재 납품대금
거푸집 컨설팅 제공으로 수익창출
설계용역 수익",C
"CRM컨설팅으로 계약진행
CRM  및 녹취 서비스 판매수익
공급계약 수익",C
"물픔대금 수령
고객 직접판매건 판매대금",C
"게임,웹툰,웹소설 컨텐츠 이용료 
상품판매 이커머스 플랫폼
온라인 광고 대행",B
"나라장터 계약으로 공사대금 수익
경쟁입찰을 통한 수익
수의계약을 통한 수익",C
"사건 수임료
자문사로부터의 자문료
각종 위원회의 위원 활동으로 인한 수입",C
"공개경쟁 설계를 통해 설계수주.
공공조달 입찰(PQ)수주",C
"프로젝트 수행 서비스 제공을 통한 수익금
연구과제 수행",C
증권 계약 유지에 따른 수수료 (상품별로 상이함),E
" 본체 판매
 본체 판매후 MRO 와 A/S 통한 유지보수 비용 및 부품 판매 이익 
 고객의 needs 에 대응하는 설계 변경으로 인한 추가 수익 ",B
"식재료 사용 후 결재금액 수령 후 본사 입금 후 남는 금액
본사의 목표달성시 목표장려금",C
공공발주사업의 현상설계를 통한 수주로 기술력과 품질 있는 설계용역완료를 통한 수익창출입니다,C
"고객의 예대마진
비이자수익증대(신탁,펀드,방카,KB카드,투자금융 등)
새로운 시장개척(글로벌 사업영역을 확장하고, 비금융사업을 강화)
글로벌 사업은 동남아 시장과 선진시장의 속도감 있는 TWO-TRACK전략을 통해 글로벌 사업 영역의 이익 비중 확대",A
"공사대금
임대대금
분양대금",C
"수의계약을 통한 계약
경쟁 입찰을 통한 계약",C
"다양한 공사입찰 낙찰을 통한 수익 (일반경쟁, 제한경쟁, 지명경쟁, 수의계약 등)
주택 분양 및 임대 사업을 통한 수익
설계변경을 통한 원가절감으로 수익 확대",B
"자체 개발한 임대아파트 분양
VE를 통한 원가절감
대량 구매로 인한 원가 절감",B
"설계입찰을 통한 수익 : 일반경쟁, 지명경쟁, 제한경쟁, 수의계약",C
"철강재(슬라브, 코일, 후판, 선재 등) 판매 수익
항만 하역업(광양/포항제철소 내 항만)을 통한 수익
기술 판매 및 엔지니어링, 당사 개발 지적재산권(기술이전 등)에 대한 기술료 등-",B
차량 판매로 인한 수입,D
안전한 운송으로 인한 수수료 입니다.,D
건축 설계와 건축물 시공.,C
"수의계약 및 경쟁입찰을 통한 수주
나라장터 종합쇼핑몰 온라인 수주",C
수의계약 및 경쟁입찰을 통한 물품대금수령,C
"수의계약을 통한 물품대금수령
경쟁입찰을 통한 계약으로 물품대금수령",C
관공서 및 보건소와 수의계약을 통한 대금수령,D
"커피, 디저트, 티 판매",D
"휴대폰, 반도체 메모리, 가전 제품",B
"OLED 장비 제작, 기술 지원, 디스플레이 분야
국내 삼성전자 외
국외 중국반도체 업체",B
도시가스 판매대금 수령,D
100% 보험 계약으로써의 수당,D
부품 및 금형대금 수령,D
"설계변경을 통한 원가절감으로 수익 확대
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",B
비데 제조 판매 및 ODM 방식,C
"제조라인 개선을 통한 원가절감.
제품판매수익.",B
"렌탈에 따른 고정적인 렌탈수수료
관공서 케어 수수료",C
"경쟁 입찰을 통한 물량 판매 수익
설비 라인 설치를 통한 수익
제품 판매 수익",C
"1.	부품 사업 : 완제품 업체와의 정기적 거래
2.	완제품 사업 : 일반 소비자 판매 및 OEM 업체와의 계약 거래에 의한 수입",B
"상품 개발을 통한 판매 대금 수령
경쟁입찰을 통한 계약 대금 수령",C
분양수익금,D
"공사대금(최초 입찰시의 수익금액과 설계변경으로 인한 수익금액)
자재에 대한 사전 계약과 대량으로 인한 시세 차익(물가연동 차익실현)
신용 등급 상승으로 인한 이익 창출",B
대리인 수수료가 주된 수익,E
"설비 자동화를 통한 원가절감으로 수익성 확대
노후화된 펌프의 교체 및 대체품을 적용, 장치제작, 연구개발등에 필요한 적정한 펌프의 선정 및 채택으로 생산라인 가동 및 연구개발에 도움을 준다.
설계변경을 통하여 안전성을 확보하고 제품 생산량을 증진시킨다.
고객사의 설비에 최적화된 솔루션을 제공하여 인력 및 생산관리의 효율적 배치를 향상될 수 있도록 한다.",A
"전장용품, 멀티미디어, 산업용기기, 가전제품, 의료기기 등에 사용되는 인쇄회로기판 부품을 제조하여 마감 후 대금을 수령함. ",C
돼지/양돈 판매,D
"대기자가측정대행
환경인허가 및 컨설팅",C
"년간, 분기간 입찰계약에 따른 제품대 수령
공통연료의 수입에 따른 원료 공급으로 원가절감 및 안정적 연료 확보.",C
"약품 및 사료판매에 의한 수익
납품수수료",C
컨설팅수수료,E
교육을 통한 법정 수수료,E
회원사 회비,D
"광고수수료
구독수수료",D
"수의계약을 통한 공사대금 수령
설계변경을 통한 원가절감으로 수익 확대
경쟁입찰을 통한 공사후 기성 및 제품 대금 수령
BLDC Motor, A/S 부품 관련 단품 판매수익
제품 판매 및 공사비 수익",A
"학교 및 학원에 납품을 통한 수입
미용실 맨투맨 납품으로 수익의 극대화
매장에서의 일반 소매 판매",C
"제품설계 및 제작으로 인한 수익
부품 판매에 의한 수익
현장방문 출장수리 수익",C
"장기계약을 통한 안정적인 물량확보
원 발주자 직접 계약을 통한 수익 극대화
원료 구매 최적화로 최저 원가 구현
제품개선 제안을 통한 원가절감으로 수익 극대화
물류 프로세스 최적화로 물류비 절감을 통한 수익 극대화",A
"기존 거래처와의 단발성 거래가 아닌 지속적인 거래를 통한 꾸준한 수익창출
조달시장을 통한 관급 공사 납품으로 수익창출
대형건설사 물량수주를 위한 지속적 노력",C
제품 판매,D
"계약을 통환 공사대금 수령
입찰을 통한 계약으로 공사대금 수령
정식 대리점을 통한 차량용 필름 판매",C
"철강재 판매로 인한 수익
철근가공 및 선조립으로 수익창출
경쟁입찰 통해 계약수주로 수익창출
가공제조원가 절감을 통한 수익창출
철강재 가격 변동으로 수익창출",B
"반도체 부품 판매 대금 수입. (도매)
온라인 판매 대금 수입 (소매)",B
홈페이지를 통한 온라인판매 & 직영 오프라인매장,D
"공사대금 수령
OEM 생산에 의한 판매수익
유통점들 납품 수익
조달청을 통한 관급 납품 및 공사대금",C
"빌딩매매를 통한 컨설팅 수수료
부동산 창업을 원하는 사람들에게 창업컨설팅 교육수수료
경매컨설팅 수수료",C
"수주에 의한 시공으로 인한 공사 기성
시공 중 설계변경 진행으로 인한 원가 관리
설계제공으로 인한 설계비 수익",B
"원자재 대량 매입으로 원자재비 절감
고객의 요청에 따른 주문제작으로 추가수익",B
설계 및 감리용역,D
"수의 계약을 통한 공사대금 수령
자사 태양광 발전소 건립으로 고정적 수입 계획 중",B
운송업체로부터의 건물 임대료 및 관리비,D
"건강기능식품전문제조원/수수료 
자체 제품 유통업체 연계 판매/제품 판매",C
패키징 필름 납품을 통한 물품대금 ,D
"수의계약을통한 공사대금수령
경쟁입찰을통한 공사대금수령
제품판매 / 공사비 수익",C
"입찰를 통해 수주한 공사의 대금 수령
계약변경을 통한 추가 공사비 수령",C
원수사 상품 판매에대한 수수료.,E
"중계무역 개념의 수수료 (공장 관리는 당사, 대금 결제는 거래처), 제 3국 수출 수수료
OEM 계약으로 선 납품 후 당월 현금
다양한 수입선으로 원가절감 기여분, 환차익(환차손도 발생)부분적으로 발생
동종업계 기술 제공수수료",A
"기술력(저작권) 확보에 의한 수의 계약(육본,군인공제)
오폐수처리장 관리용역에 의한 수익
관공서 및 공장 제품판매 수익",C
"제품 판매를 통한 매출 이익
기술개발을 통한 개발용역비 수령
지속적 원가 절감 등을 통한 수익 증대",B
제품 판매 수익,D
"통행료
휴게소 임대료",C
"경쟁입찰에 의한 공사대금수령 및 설계변경/ESC 등에 의한 원가절감
아파트, 상가, 토지 판매 수익
출자에 의한 배당수익
임대수익 등",B
"경쟁설계가 우선으로 진행하고 있고
경쟁설계가 아닌 적은 프로젝트는 수의계약 및 설계변경에 의한 설계 수수료입니다",D
"제품 납품에 따른 대금
유통으로 유통 마진 획득",D
물류 및 통관 포장 수수료 또는 창고료와 관세환급 수수료 등,E
"제품 공급을 통한 판매대금
컨설팅 시공을 통한 매출 수령 ",C
"아파트 및 오피스텔 등의 분양, 임대 수익
토목건축공사, 포장공사 등의 수익
각종 제안사업(용인~서울 고속도로 등)의 운영 수익",C
"아파트 및 오피스텔 등의 분양, 임대 수익
토목건축공사, 포장공사 등의 수익
각종 제안사업의 운영 수익",C
"공공조달 입찰 및 수의 계약을 통한 공사대금
민간공사 계약을 통한 공사대금
설계변경과 원가절감을 통한 수익 확대 ",B
"외식식자재 유통사 
외식프랜차이즈 
커피프랜차이즈 
자사의 상품을 필요로 하는 모든 거래처에 양질의 특화된 베이커리 상품들을 판매한 매출 ",C
"해외수출
SNS채널 유통
체인점, 개인사업자의 물품대금",C
"제품판매 및 공사비 수익
경쟁입찰을 통한 계약으로 공사 및 제품 대금 수령",C
"통신시스템 구축 공사
기업인터넷 사용수수료
통신네트워크 제품판매",C
"조달 제품의 조달청 판매에 대한 수익
유플러스 등 대기업 납품 제품에 대한 익월말 결제 수익
온라인 쇼핑몰 판매 제품에 대한 수익
해외 수출을 통한 수익 등",B
"수의계약 및 경쟁입찰을 통한 공사대금 수령
모형수정 및 변경시에 추가되는 추가비용 수령
모형이전을 통해 이전비수령",C
"수의계약을 통한 공사대금 수령
온라인 판매
SPEC 후, 제품 판매수익",C
"폴리우레탄, 철판 외 제품 제조하여 소규모 중소기업에 제품 출고 후 대금 수령",C
"금속열처리 및 금속표면열처리
알루미늄 판매
압출금형 제작 및 공구강 수출(베트남)",C
"수의계약 및 경쟁입찰 등의 제품 판매를 통해 얻어지는 수익
상품매입(PL)후 판매를 통해 얻어지는 수익",C
"신규 Project 수주를 통한 공사대금 대금 수령(매월 대금수령)
설계변경을 통한 원가절감으로 수익 확대",B
"자산관리 및 투자상담후 금융상품 유치 완료 실적에 따른 수수료
자산관리 교육 및 초빙교육 강사료",C
"제품 판매 수익
제품 공사 수익
부가가치를 높일 수 있는 제품의 업그레이드 연구
제품의 다각화
제품 이외의 건축관련 용역(컨설팅, 인테리어 공사 등)을 통한 수익확대",A
"마케팅전략, 물품판매, 비즈니스, 웹사이트 디자인,개발 및 관리
관공서 수의 계약, 브랜드 관리와 콘텐츠 마케팅, 입찰경쟁
정부지원사업, 정찰제, 시장의존, 물량의존, 생산량 관리, 다양한 가격 메커니즘 적용.
부동산투자사업, 임대업",A
"제품대금수령 
30일 전자어음수령 
현금 계좌입금수형 ",C
"생산성 향상으로 수익 확대
품질 안정화로 비용 절감
주요 공정 자동화로 원가절감 ",A
"경쟁입찰 통한 위탁교육 사업예산 확보
교육과정 등록금
기타 기부금",C
박스납품을 통한 대금 수령,D
"모든 계약은 전자거래 방식을 채택 (공개입찰 방식)
특수한 경우에만 수의계약으로 진행",D
계약을 통한 세무대행 수수료,E
핵심 인재 추천하고 받은 커미션 (성공 보수…연봉의 15~30%),D
판매 대금,D
"제품기획, OEM생산한 제품의 판매
자체제품과 대기업제품, 위탁 받은 제품 등 쇼핑몰 입점 판매
특판을 통한 대량판매",C
지명 경쟁입찰을 통한 계약으로 기술력을 발휘하여 원가절감 노력에 의한 수익 창출,C
"납품 판매를 통한 유통 마진
적절한 시점의 원료곡 확보를 통한 시장가액과의 차액 실현",C
"화장품 B2C, B2B 매출
화장품 수출 매출",C
장기적 원료 판매 공급 계약.  ,D
"홍보용 제품 카다로그 제작
온라인 쇼핑(조명 판매)
중소벤처 수출바우처 관련 홍보물
전국적으로 발행 배포하는 with you 및 lighting news매거진",C
"공개교육 및 기업맞춤 프로젝트, 특강, 컨설팅을 통한 매출 (대면/비대면)
강의장 대관 매출
영상제작 및 온라인 서비스를 통한 매출",B
제품 판매에 따른 수익,D
"특별히 주문하는 타일 제품으로 유도하여 공급.
외산 제품 제안 및 고가제품 설계 유도.
재무적 안정 업체 위주의 거래처 지향.",C
"제품납품에 의한 대금수령
디자인에서 제작, 설치 완료 후 대금수령
경쟁입찰을 통해서 수주 후 계약, 납품, 공사완료 후 대금 수령
공공입찰을 통해서 수주 후 계약, 납품, 공사완료 후 대금 수령",C
"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
수의계약을 통한 공사대금 수령
설계변경을 통한 원가절감으로 수익 확대",B
"제품 개발용역
제품 판매",C
"은행 고유사업을 통한 영업수익(은행법에 의한 은행업무, 외국환업무, 신탁업무, 전 각호의 업무에 부수 또는 관련된 업무, 인가를 받은 다른 겸영 업무 등)
은행업에 따른 자금을 조달, 공급을 통한 금융중개 기능에 의한 수익(예대마진 등)
겸영 업무를 통한 수수료 수입(방카슈랑스, 자산관리업무, 신용카드 등)",B
제품 판매 / 판매수익금,D
"수의계약을 통한 디자인 기본 및 실시설계 용역 수행
실시 설계용역을 통한 스팩 적용 수익 창출
공모전 참여 및 전기공사 수행 / 공공기관 랜드 마크 사업 참여
각 지자체 관광 사업 관련 발굴 직접 사업 제안",B
"수의계약을 통한 공사대금 수령
설계변경을 통한 원가절감으로 수익 확대
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
위생도기, 수전, 비데 등 욕실용품 관련 단품 판매 수익
바닥판, 벽판 등 제품 판매 대금
공사 시공비",A
"경쟁설계 수주 (설계공모, 제안공모 등)
민간 발주처 입찰, 수의계약 및 경쟁설계",C
거의 대부분이 경쟁입찰을 통한 계약으로 물품대금을 수령하고 있음,D
"우수조달등 신기술인증으로 공공기관 수의계약
지자체의 교통설비납품하고 지속적인 유지관리계약",C
"1군 건설현장 레미콘 자재대금 수령
조달청 관급자재 배정물량 대금 수령",C
"증권발급 보험료에 대한 수수료
손해율 축소 관리로 수입원 감소 방지",C
"경쟁입찰 통한 수주로 매출대금 수령
중소 설비회사 등의 목표고객에 대한 영업성공에 따른 매출대금 수령",C
"도급공사의 공사 매출
설계변경, Value Engineering을 통한 원가절감
개발형 사업의 개발이익
민자사업 출자지분에 따른 사업운영수입",B
"인력공급 계약을 통한 수익
컨설팅 계약에 따른 수익",C
"경쟁 입찰을 통한 계약으로 공사대금 수익(말뚝시공)
장비 임대 수익",C
"홈쇼핑을 통한 매출 확대
지역대리점을 통한 매출 확대
특판, 조달, 백화점 사업을 통한 매출 확대",C
"오프라인 교육 강사료
온라인 영상촬영비용
강사파견 중계 수수료",C
세무기장계약 및 컨설팅 계약에 따른 월 자문수수료 및 컨설팅 수수료 등이 수익이 나고 있으며 향후 유통사업부에 따른 투자활동 수익이 있습니다. ,C
도로 이용차량의 통행료,D
"제품(토지, 건축물) 분양수익금",C
"납품계약을 통한 납품대금 수령
리테일 마켓 확대",C
"리테일 판매 (전시장을 방문한 개인 건축주에게 직접판매)
건설사나 시행사 제안 및 도면 견적을 제출한후 경쟁 입찰을 통해 수주하여 납품 및 설치 후 공사대금을 수령합니다. 일반적인 단품과 달리 어찌 보면 수입 주방가구는 설치시공을 납품자가 직접 하기 때문에 고도의 기술을 보유한 업체와 협업하여 사업을 진행합니다",C
경쟁입찰을 통한 공사수주,D
"경쟁입찰을 통한 계약으로 공사대금 수령
자체아파트 판매를 통한 수익
민간입찰, 수의계약 등을 통한 공사대금 수령
S.O.C 사업, B.T.L 사업을 통한 운영수익
공공지원 민간입찰을 통한 리츠사업 등을 통해 민간임대주택 보급으로 임대수익",B
"세무조정, 기장대리, 회계감사 서비스 제공을 통한 수입",C
경쟁입찰을 통한 공사 수주 후 원가절감으로 수익 창출,C
"수의계약에 의한 수수료
경쟁입찰에 의한 수수료
지명입찰에 의한 수수료",D
"KT IDC 서비스 이용계약 체결을 통한 신규 수익
기존 고객들 과의 연장계약 체결",C
"소재개발을 통한 지속적 원가절감
절수등 기술혁신을 통한 고부가가치형 제품개발로 판매단가 상승
B2C상품 포토폴리오 확대 구성으로 매출액 확대 및 이익율 극대화",A
"약국 : 웰케어 제품 공급에 대한 제품 대금 수입
판매자 : 제품 판매 대행 수수료 제공
유통플랫폼 구축을 통해 예상되는 최대 기대 효과는 제품 개발, 도입 비용 최소",C
"경쟁입찰을 통하 계약으로 공사대금 수령
직접 영업을 통한 영업 
관공서 입찰 ",C
"경쟁입찰을 통하 계약으로 공사대금 수령
직접 영업을 통한 영업 
관공서 입찰 ",C
직접 영업을 통한 오다 수주 및 제품 대금 수령,C
"제품판매의 의한 마진
직접 영업을 통한 영업 ",D
"설계 및 감리 입찰을 통한 수주와 기성금 수령
민자사업 개발 및 최초제안과 연계된 후속 3자제안 참여, 전차용역사의 지위로 감리수주",C
"자문 수수료
소송 착수금 및 성공보수금",D
"경쟁입찰을 통한 계약의 공사대금
공공입찰을 통한 계약의 공사대금
설계변경을 통한 원가절감",B
제품 배송에 대한 수수료,E
"디자인컨설팅 용역 ( 80%)
컨설팅결과의 고객 요청에 의한 시공 ( 20%) – 인테리어 및 공간 환경시설물, 광고물 중심",C
"부동산 공급을 통한 분양매출
부동산 금융 및 개발 자문 (부동산 개발 금융 컨설팅)",C
제품 판매에 따른 이익,D
"렌트&리스 승계업무 중개수수료
신차 렌트 & 신차리스 상품판매 수수료",C
부품 매출대금 수령,D
"건축 설계를 통한 설계대금 수령
건축 감리를 통한 감리대금 수령",C
다양한 건설 자재의 납품 (품목을 다양하게 하여 수익 극대화함.,C
당사 제품 판매를 통한 이익,D
"노즐류 납품을 통한 단품 판매 수익.
경쟁입찰을 통한 공사대금 수령.
엔지니어링 서비스를 통한 용역비 수령.",C
"공공입찰을 통한 수주계약
철저한 사업관리를 통한 책임 준공으로 수익 관리
LGU+ 서비스 이용고객 대상 서비스센터 운영 용역계약 수익",C
"공공입찰을 통한 수주계약
철저한 사업관리를 통한 책임 준공으로 수익 관리
지속적인 시공원가 절감활동을 통한 수익 증대",B
"공공입찰을 통한 수주계약
철저한 사업관리를 통한 책임 준공으로 수익 관리
지속적인 시공원가 절감활동을 통한 수익 증대",B
수의계약 또는 경쟁입찰을 통한 공사대금 수령,D
경쟁입찰을 통한 공사수주,D
"SW 플랫폼 비즈니스 수익
e학습터 대규모 교육 학습 플랫폼 수익
미들웨어 서비스 제공, 운영, 유지보수 수익",C
"연간단가계약을 통한 공사대금 수령
수의계약을 통한 공사대금 수령
경쟁입찰을 통한 계약으로 공사대금 수령
제품 판매로 인하 수익",C
제품 판매수익,D
"제품 판매 수익 .
기타 제품 소싱 대행 수익.",C
"고정 고객사 및 일반수주를 통한 공사대금
임대수익금",C
도급 수의계약에 의한 도급대금 수령,D
"수의계약을 통한 대금 수령
베트남의 경우, 기술 수출하여 매출의 15% 수령(베트남 기업이 삼성전자 거래 계약, 21세기에서는 기술 제공)",D
"부동산 개발을 통해, 지분만큼 수익 배당",C
"고객사의 기존 거래처 대비 우수한 납기 및 원가경쟁력
기존 거래방법 대비 고객사에게 유리한 유통마진 제공",D
"브랜드에 완제품 납품계약 
오프라인 매장/ 온라인에서 직접판매",C
"화학제품 납품후 대금 수령 
분석서비스 제공후 대금 수령 
일본 화학제품 제조사 컨설팅 (한국내 반도체/밧데리/디스플레이 등 )",C
제품판매 수익 및 물류대행 비,C
건설현장 가설자재 임대수수료,E
자금 조달을 성공시킴으로써 성공 보수 수수료,E
경쟁입찰을 통한 계약으로 공사대금 수령,D
"경쟁입찰과, 수의계약을 통한 공사
직접 방문 현장영업을 통한 제품판매를 통한 대금수령",C
"학교 및 학원에 납품을 통한 수입
미용실 맨투맨 납품으로 수익의 극대화
매장에서의 일반 소매 판매",C
"제품 대금 수령
의료기, 생활가전 등 관련 단품 판매 수익",C
"통신판매업을 통한 소매 수익
마트, 대형쇼핑몰 납품을 통한 수익",C
"건설사 납품 대금 수령
대리점 판매 대금 수령 
유통회사(온라인, 오프라인) 납품 대금 수령 
기타 단품 판매 수익 ",C
펀드 운용에 따른 관리보수 및 성과에 따른 성과보수,C
"건설사의 경쟁입찰을 통한 수주(연간 단가 현장 및 건축현장)
당사 제품과 경쟁사 제품 품평을 통한 수주.
시행사의 전폭적인 지원을 통한 건설사 수주 ",C
