수익원,label
"스마트팜 판매 / 임대 사업
스마트팜 온라인 제어 시스템 사용료
스마트팜 재배 작물 유통",C
자문계약에 따른 자문료 및 소송 수임에 따른 수임료,D
"기본적인 기장료수입
세무조정료
세무조사수임료
부동산관련 신고",C
"건설용 강재가공 제작사(ex 강관사/철구사/데크플레이트/롤포밍/컬러사 등)로 판매되는 철강제품대
건설사에서 직접 핸들링하는 강재(사급자재) 제품대 
자동차 제조사 및 부품사에 공급되는 철강제품대
전기전자사 등에 판매되는 철강제품대
유통시장에 유통되는 철강재 제품대 등",A
"건설사업 전체에 대한 컨설팅 비용(사업성 검토, 사업계획, 설계, 감리, 감독)
건축물 노화, 가치 평가 및 진단에 대한 컨설팅 비용",C
정부의 수탁사업 수주 등을 통한 예산확보,D
"수의계약을 통한 제품대금 수령.
효율적인 생산공정 관리로 원가절감, 최대의 이익창출.",C
"장비 임대계약을 통한 임대료 수령
부품 판매/수리 및 장비 판매/출장 정비 수리 수익
부품 판매/수리 및 장비 판매/출장 정비 수리 수익",C
"건설사 경쟁입찰을 통한 계약으로 제품대금 수령
시공단종사 제품 공급으로 대금 수령
유통 대리점 제품 대금 수령",C
"각종 법령(주식회사의 외부감사에 관한 법률, 공공기관의 운영에 관한 법률 등)에 따른 외부회계감사
외부회계감사를 위한 재무제표 작성 및 외부회계감사 대응 용역
공공기관 예산 집행내역 검증
기업가치평가, M&A, 자산부채실사 등 기업에서 비경상적으로 발생하는 회계 Issue에 대한 보고서 발행
회계/세무 자문",C
"주 거래처 납품대금
브랜드 로얄티
방범system 렌탈료",C
"자동차 판매 수익(마진)
서비스 청구 금액 수익
메르세데스 벤츠 코리아측 보너스 마진(유보 마진-회사의 타깃 목표 달성시지급, 브랜드 CI 준수시 지급)
부동산 임대 수입 ( 전시장, 사무실 등)
금융사 이용시 협조금
금융자산 이자 수익 (사전 계약금, 인도금으로 인한 금융 이자 수익",B
"건설회사로부터 받는 물품 판매 대금
LG하우시스와 건설사간 공사 계약을 체결을 중개하고 받는 수수료",C
"경쟁입찰을 통한 계약으로 얻는 납품 대금
LG하우시스와 시공사와의 계약 중개 수수료",C
"적정원가의 공사수주
v.e를 통한 원가절감",C
"설계 요구에 맞는 원가분석으로 비효율부분 개선 (원자재 절감)
가공시간을 자동화 및 반자동으로 인건비 절감",C
설계용역을 통한 용역대금,D
"제품 제조, 납품을 통한 판매 대금 수령",D
"경쟁입찰을 통한 계약, 공사대금 수령
제품 판매 시공의 수익",C
"자체사업을 통한 분양수입금, 도급공사 시공을 통한 공사비수령
각종 수의계약 공사 수행
그룹관련 공사 수주로 공사비 수금
임대수익
VE를 통한 설계변경 및 원가절감으로 이익확대",A
설계 납품에 의한 설계비 수령,D
"수의계약을 통한 설계용역 대금
수의계약을 통한 감리용역 대금
기타 각종 기술용역 대금
설계경기 당선작 대금수령",C
"국가 및 공공기관의 설계 및 CM용역의 입찰과 현상설계공모를 통한 대금 수령
건축주 영업을 통한 설계용역 수의계약",C
"당사는 제조업으로 제품을 판매하고 압착공구를 임대.
판매수익과 임대수익
대리점(판매점)을 통한 매출",C
설계제안을통한 이익창출,D
"건설사 : 무차별 저가 정책으로 수익성 없음
각종 관급공사 : 수주를 위한 비용이 기대수익을 초과. 수익성 없음
개인고객 및 인터넷 판매
플라스틱 제품 제조 업종 외 공업용, 반도체용 가스 판매업의 수익",D
"건설사 납품
도소매
온라인판매",C
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령,D
"경쟁입찰을 통한 계약으로 공사대금 수령, 설게변경 등 포함 원가절감으로 수익 확대",C
"프랜차이즈 사업을 통한 물류 유통 마진
홈페이지 및 각종 시각디자인으로 수익 창출
프랜차이즈 경영 컨설팅 수익
Oem 제품 온라인 판매 수익
인테리어 디자인 및 컨설팅",B
보험사에 납입된 보험료에 대한 수수료,E
기업체의 제품 판매와 공사 수익입니다,C
"채소 온라인 판매, 구독 판매, 정기 주문 판매 
신농법 교육",C
서비스 제공에 따른 용역제공수수료,E
"식사 제공을 통한 월 단위 식수
주방 및 식당 집기류 납품을 통한 수익",C
수의계약 및 경쟁입찰을 통한 공사대금 수령,D
"제품판매에 대한 대금 회수를 통한 수익 창출
B2B 고객대상으로 종합컨설팅 계약을 통한 대금 수령 
원천기술 제공을 통한 로열티 확보",B
"학교급식 식자재 납품(수의계약, 입찰)
총판운영 제품 판매
경기도와 지자체 친환경 급식물품 물류 수수료 수입",C
"폴리우레탄 재료 국내 판매 및 수출
자사 생산품인 폴리우레탄 폴리우레아를 이용한 공사
플라스틱, 고무 등 케미칼 제품 성형 판매",C
"의약품, 의약외품, 의료기기, 건강기능식품, 식품, 화장품 등) 판매대금 수익",D
"컨설팅 수수료
계약에 따른 수수료",E
산업용 전기부품 판매 수익,D
"인력공급 계약을 통한 수익
컨설팅 계약에 따른 수익",C
"납품 공급 계약을 통한 대금 수령
도소매를 통한 판매 수익",C
"도급공사의 공사 매출
설계변경, Value Engineering을 통한 원가절감
개발형 사업의 개발이익
민자사업 출자지분에 따른 사업운영수입",C
"컨설팅 수임료 (투입인원별 시간당 fee, 프로젝트 투입 인원수, 프로젝트 기간에 근거하여 산출)",E
"개인여신, 기업여신, Auto여신, 담보 여신을 통해 고객 신용등급에 부합하는 금리를 적용해 이자를 취하는 방법",D
"고객 맟춤형 주문 생산으로 매출액-제작비(생산원가+물류비+운영비)로 디자인개발 및 지적소유권 포함
제작없이 디자인이나 기획 만을 원하는 경우 매출액 대부분",D
보험사에 납입된 보험료에 대한 수수료,E
"고객이 발주한 자동화 시스템 구축에 대한 수주 금액이 유일한 수익원이다.
현재 대리점으로 판매하고 있는 부품 판매 수익
당사가 구축해준 시스템에 대한 유상 A/S 발생시 처리에 대한 수익",E
모형 납품 및 설치 대금,D
"굴비 판매로 인한 수익
꽃배달 주문으로 인한 수익
제품 판매 및 공사비 수익",C
"수의 또는 입찰을 통한 공사 수익
시공방법 및 대체 자재를 통한 원가 절감 수익
생산 제품 판매 수익
기타 임대 및 이자 수익",C
"안전진단 용역대금 수령
특허자재 납품 수익
특허기술 공사대금 수령",C
"신문구독료. 
광고료. 협찬.
출판. 인쇄료.",C
"어학원 강의를 통한 매출
임대수입 ",C
준공영체제로서 버스요금이 주 수입원입니다,D
프로젝트 수주에 따른 용역비,D
"제품생산 판매 활동
물류 3PL 활동",C
"기업에 정기적인 안전장비를 공급하고 이를 통해 정기적인 결재
안전사고 긴급 대응으로 발생되는 수익
긴급보수, 정기보수 공사를 통해 발생되는 공사대금",C
"온라인광고대행
네이버 다음 구글 대행 수수료 
유투브 채널 운영 대행료 
유투브 영상 제작 대행 수수료 ",D
"면세점 신규 기업 컨설팅 수수료 
면세점 판매 수수료  
특정 상품 상품 중개 수수료",E
"리서치 서비스 제공 수익
패널 대여 수익
입찰을 통한 국가 교육사업 수익
정부 R&D를 통한 연구자금 수익",C
"프로그램 제작 대가 수익
정부 R&D를 통한 연구자금 수익
패널 대여 수익",C
"설문조사 서비스 대가 수익
패널 대여 수익",C
"고객에게 물품을 판매하여 이익을 얻음
고객이 원하는 물품을 구매하여 이익을 얻음
물품이 농산물이어서 기후와 재배면적, 수확량, 품질, 관세 등 여러가지 조건에 따라서 환차익, 구매 마진, 유통 마진 등 다양한 수익을 창출할 수 있음",D
작품 제작비 ,D
"인쇄 제작관련 대금과 디자인에 대한 대금
광고 제작비 대금",C
"오프라인, 외부 온라인 : 판매액 – 제조원가- 판매수수료 차액 
자사 온라인 : 판매액-제조원가 ",C
"자체사업 진행을 통한 분양 수익 창출
도급사업 수주를 통한 공사이익(설계변경을 통한 원가절감 및 추가계약으로 수익 확대)
특허 등 기술확보를 통한 수익 창출",A
"대리점에 자재판매를 통한 수익
건설사에 ALC 공사를 시공후 얻은 수익
설계변경을 통한 수익",B
"한복대여료
헤어 메이크업비",D
"경쟁 입찰을 통한 계약
제품 판매 및 공사비 수익",C
"수의계약을 통한 공사대금 수령
설계변경을 통한 원가절감으로 수익 확대
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",B
"공사를 통한 대금 수령
사업지 개발을 직접 시행함으로서 생기는 개발 수입",C
"브랜드에서 소재 오더 받아서 납품/중계 수수료
수출 대금
원단 개발비
오프라인 매장 판매
온라인 판매
전시회 판매",C
제품을 판매하여 남는 이윤이 수익임.,D
"전자 설계 자동화 SW 개발 및 서비스로 지속적인 수익 창출
고객의 데이터 관리와 수정 및 업데이트를 통한 유지 보수 수익 창출
고객의 개발에 참여하여 원자재부터 개발품에 필요한 외주 공정 비용 창출",A
"물품공급을 통한 매출로 공사대금을 수령
공장에서 원가절감을 통한 비용 절감",C
"국내 판매 독점으로 수의 계약 및 제한적 경쟁 입찰로 판매단가 유지
EPC사 영업보다 석유화학 제조사 영업을 통해 판매단가 유지",C
욕실자재 관련 판매 수익,D
"건설사업관리, 감리를 통한 수수료
건축 설계 서비스 제공에 따른 수수료 매출",D
"아파트 같은경우 건설사에서 제의제품으로 spec-in 후 납품 대금수령
충전사업자를통한 납품후 대금수령
공공 입찰후 납품을통한 대금수령",C
"정기검진 및 외래진료비용
라식, 라섹, 백내장 등의 수술비용
의료보험공단 청구금",C
시공을 통한 공사대금 수령,D
제품 판매대금 수령,D
서비스 수수료 제공수익,E
제품 판매수익,D
"생산원가 절감을 통한 수익 확대
경쟁입찰을 통한 계약으로 제품대 수령",C
수의계약을 통한 공사대금 수령,D
제품 판매대금 수령,D
제품 판매수익,D
제품공급을 통한 상품매출,D
제품 판매수익,D
제품판매수익,D
상품 판매수익,D
제품판매수익,D
폐기물 처리비용,D
조달 매출을 통한 대금 수령,D
상품판매수익,D
"제품대금, 공사(시공)대금",D
부동산 개발사업을 통한 이익창출,D
"전자입찰을 통한 방법 및 조달 쇼핑몰을 통한 계약체결
대리점 공급시 선급금
자체 Mall 판매",C
"지적재산권 업무 수임료.
지적재산권 심판사건 수임료.
해외 특허 출원, 등록, 심판사간 등.
국가 R&D사업 등.",C
공사대금수령,E
"근무복, 아웃도어 의류 및 용품 경쟁 입찰을 통한 계약
온라인 쇼핑몰
기업 판촉물(설, 추석, 기업창립 기념일, 근로자의날 등) 선물 건
포인트로 구매할 수 있는 폐쇄몰 구매",C
"노동조합 창립일 및 근로자의 날 기념품 납품
부처 및 부서별 근로자 작업복 피복비 예산에 따른 피복 구매",D
"전장용품, 멀티미디어, 산업용기기, 가전제품, 의료기기 등에 사용되는 인쇄회로기판 부품을 제조하여 마감 후 대금을 수령함",D
화장품 완제품 판매 수익,D
"설계영업한 공법계약을 통한 시공으로 공사대금 수령  
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",D
"제품 판매
적극적인 조달입찰 참여로 인한 수익
학교, 연립주택, 임대아파트, 공장의 건설에 따른 창호공사의 시공",C
"원료 물품대
수입 및 오퍼관련 수수료",D
"공사대금 수령
설계변경을 통한 공사비 증액
공사 원가 절감",C
"타일,위생도기류 판매 대금 수령
경쟁입찰을통한 계약으로 납품 대금 수령 ",D
환자에게 본인부담금과 건강공단에서 공단부담금을 받습니다,D
"라이센스 채결 비용
제품 사용 로열티
고객사 요구에 맞춤 개발을 위한 NRE",C
"동문회비 (연회비, 팽생회비, 기타 후원금)
 동문회보 제작을 통한 광고 수입
 동문회 홈페이지 광고 수입
 광고수입의 경우 대부분의 광고는 경희대 동문들 중 사회적으로 성공하여 광고를 수주함",C
"기존 고객의 소개 영업
법무사와 공인중개사와의 제휴를 통한 상호소개
내방 고객에 대한 상담",E
"B2C 시장의 브랜드화 – 소비자 개별영업으로 개별세대시공후 대금수령
B2G 시장의 브랜드화 – 나라장터 수의계약을 통해 시공 후 대금수령
B2B 시장의 브랜드화 - 건설사 협력업체 등록으로 옵션행사후 입주시 설치완료후 대금수령
---  브랜드는 곧 보험이다.",B
"장기 계약을 통한, 제품 판매 대금 수령
수의 계약을 통한, 제품 판매 대금 수령",C
중개수수료,E
원청사의 제품 재가공 및 포장에 따른 매출수수료,E
"여객수요(항공티켓) 
화물수요(화물)",C
"제품원재로 구매 시 구매경쟁력을 통한 수익창출.
가공 시 공정시간 단축을 통한 원가절감.
식품특성상 손실율 제로 관리를 통한 원가절감.",B
"수의계약을 통한 제품 및 설치대금 수령
제품 판매 및 공사비 수익
제품 관련 단품 판매 수익 
설계변경을 통한 원가절감으로 수익 확대",B
"기사, 칼럼, 연재 등
배너 광고
포털사이트 뉴스전송, 블로그 연재 등
SNS 마케팅",C
"건강기능식품, 1차 농산물 판매 등",D
"메모리 검사장비의 핵심 부품 제공(COK)-소모성 핵심 부품
비메모리 검사장비 핵심 부품 제공",B
"공사계약을 통한 공사대금수령
설계변경을 통한 원가절감
경쟁입찰을 통한 공사수주
민간투자사업(시공 및 운영): 철도, 고속도로",B
"디자인 제안 수수료, 제품 납품 수익",D
타일 및 위생도기 관련 상품 판매 ,D
"시공사 및 개인고객 설계 및 감리 수주 계용역비 수익
수의계약을 통한 설계 및 감리 용역비 수령
등록된 pool에 의해 지정되는 공공감리 등 용역비 수령
프로젝트 진행전 사전 검토(기획설계) 대가 수익",C
용역을 통한 수익과 수입에 따른 중간 유통 마진,D
거의 대부분이 경쟁입찰을 통한 계약으로 물품대금을 수령하고 있음,D
"대부분 제품 판매 수익
벤더사로부터 리베이트",D
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령,D
"관급공사, 사급공사 수주, 공법 제안, 자체 공사를 통해 수익을 창출합니다.",D
"관급공사, 사급공사 수주, 공법 제안, 자체 공사를 통해 수익을 창출합니다.",D
"연구용역 수행을 통한 수수료 (기본급 + 성과급)
재단의 동산에 대한 수입",D
건설가설자재 임대를 통한 임대료 수익,D
"건설가설기자재 임대및 판매를 통한 수익
비계공사 턴키 수주로 시공 매출 수익
중고제품 판매 수익",C
"수익 계약을 통해 컨설팅 비용 수령
협력 회사 간 알선하여 중재 수수료 수령
직접 시행 하여 사업 이익 창출",C
"온라인 판매
해외 수출 대금",C
"해외 수입
국내판매 유통마진 ",C
비데 관련 부품 판매수,D
생산품 및 무역품을 제공하고 판매 대금 수령,D
"제품 개발용역
제품 판매",C
"금형 제작 수익
플라스틱 사출제품 납품비",C
"비데호스 및 사출물 판매수익
욕실용품 관련 단품 판매수익",C
"해외영업으로 인한 수익
설계 다변화 및 단순화로 인한 원가 절감
고객사에서 원하는 제품으로 경쟁사와의 차별화로 인한 지속적 거래",B
단가협의에 따른 재품대금 월수령,D
국내 제조사 및 유통시장에 판매하여 수익 발생,D
고객의 요청으로 생산 제품을 생산하여 납품 수익으로 이익 창출,D
"전자 부품 또는 모듈 등을 sourcing하거나, 직접 제조하여 납품할 때 수익원 창출",D
"납품대금 수령
개발 용역 수입.",D
"A사 
-비데 및 욕실 생활관련제품의 인쇄물 제작 퍈매 수익
B사
-의료장비에 관련된 인쇄물 제작 판매 수익",C
"수익원의 핵심은 아파트 분양대금 
단순 하도급으로 받은 건설 대금 
자체 개발한 토지를 바탕으로 자체 건설로 수익 극대화가 본사의 핵심역량임 ",C
"전기,통신,소방 설계비
전기,통신,소방 감리비
전기,통신,소방 시공비
전기엔지니어링 컨설팅",C
"수의계약을 통한 용역금액 수령
설계변경 및 계약기간 연장을 통한 수익 확대
경쟁입찰을 통한 계약으로 용역금액 수령",C
"설계용역에 대한 대가
감리용역에 대한 대가
연구 및 기술용역에 대한 대가",C
"1억 미만은 수의계약을 통한 공사대금 수령
1억 이상은 경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",C
차량 판매로 인한 수입,D
"수의 계약을 통한 컨설팅비 수령
교육을 통한 수익금 수령
강의를 통한 강사료 수령
유통입점을 통한 매출 수수료
자문을 통한 자문료 수령",B
"상품유통에 대한 유통수익 (기업단체납품 및 폐쇄몰 납품)
브랜드 라이센싱을 통한 로열티 수익
주방, 생활 제품 백화점 입점 판매 수익
주방, 생활용품 중심의 온라인 판매 수익 
유명브랜드 상품을 총판계약하여 중소기업에게 독점모델로 공급하는 공생마케팅 수익",A
"건설장비 (굴삭기/휠로더 등) 판매에 따른 매출 수입
건설장비 a/s 수행에 따른 서비스 용역 수입
건설장비 유상 a/s 상품 package 판매 수입 
건설장비 부품 판매에 따른 부품 매출 수입",B
제품 판매 대금 수령,D
"구조용 각관 판매
구조용 형강판매
화스너 판매
외장패널 설치 부속 철물 판매",C
제품판매 및 서비스 제공에 따른 수수료,E
"조달청 등 공공기관 수의계약 및 낙찰에 따른 매출
메이져 고객사를 통한 판매 매출
미국 등 해외수출을 통한 매출
온라인 판매를 통한 수익
지인 회사를 통한 지속적 사용처(홍보 판촉용 또는 직원용) 판매 수익",C
"기계 판매 대금 
계약을 통한 선수금",D
"보일러 버너의 판매를 통한 공사대금 수령
연료전환(BC유->LPG)공급 공사대금 수익(배관설치, LPG탱크설치 등)
산업체(공장 등)의 LPG판매를 통한 수익 창출 : 계약기간내
산업체보일러 및 버너의 AS 발생에 대한 수익 
LPG벌크차량 충전에 대한 도소매 수익 등
LPG가스 영업을 통한 수수료 수입: 계약기간내",B
"조달청 공공입찰을 통한 공사대금 수령
건설사 제품납품으로 인한 대금 수령
지역 발주 공사를 통한 수익창출",C
"고객과의 공급계약을 통한 납품 대금 수령
원가 절감으로 수익 극대화(자동화를 통한 인력 성인화/ 제조 효율 극대화 등)",C
"차세대 기술 개발을 통한 제품 가치를 확보 제조 부품가의 수익성 증대
FPCB 부품 및 어셈블리등 제조를 통한 수익성 확보
제조 원가 경쟁력 확보를 위한 해외 생산 기지 활용 수익성 확보",A
"생산 공정 및 테스트 장비를 공급함으로써 장비 판매 대금 수령.
CS 워런티가 지난 설비와 개조개선이 필요한 설비는 고객과 협의 후 개조 및 CS진행함으로써 비용 청구.
장비의 소모품 공급으로 인한 수익창출",C
"설계사를 통한 방문판매 수입 
대리점평 방문 판매를 통한 대리점 판매액의 일정부분 수수료
부동산 투자를 통한 임대업(부동산 임대 수입)
해외 부동산 투자를 통한 임대업
OEM방식으로 외부업체 제품 개발 및 시제품 납품 
수직계열화로 원가절감 수익확대 ",B
욕실용품 관련 제품 판매 수익,D
"시공 설계를 통한 제품 납품 및 시공비용
시공 완료 후 유지보수 계약
부자재 납품 대금 
컨설팅 계약을 통한 수익 창출",C
"제품 제조 및 판매를 통한 수익
비즈니스 MOU로 인한 B2B 영업 수익 ",C
욕실욕품 관련 제품 판매 수익,D
"주택현장 및 일반건축현장(호텔, 오피스 등) 납품
온라인 판매",C
"통신판매업을 통한 소매 수익
마트, 대형쇼핑몰 납품을 통한 수익",C
"욕실제품을 OEM 판매를 통한 수익
당사 자체 개발품 판매를 통한 수익
건설사 납품을 통한 수익
타사 제품을 당사 유통채널을 통해 판매하는 수익",C
"제품 판매 수익
제품 교육 강사료 수익
제품 업그레이드 수익
제품 용역 개발 수익 ",C
"보험계약을 통한 수수료
고객관리를 통한 고객 관리수수료
주식투자를 통한 수익",B
"마진율 (수익율)에 대한 최소의 양심적 근거에 의한 욕심(?) 만으로 진행
공급사의 원활한 협조에 의한 단가 인하 매입",D
"친환경 인증관련 컨설팅 제공 수익
인증 취득을 위한 서비스 용역 업무 제공 수익
LCC를 기반으로 한 시설물유지관리 프로그램 제작 수익
표준화된 시설물유지관리 프로그램의 클라우딩 서비스 제공에 대한 월 이용 수수료",B
"SW 판매 대금
개발에 참여한 용역 매출",C
"건설사 납품
도소매
온라인판매",C
"미들웨어 또는 클라우드환경, 소프트웨어 제품의 판매 및 개발, 유지보수",C
벽돌 제품 판매 수익,D
"차종에 따라 각각 다르게 정해진 수수료를 계약하고, 판매에 따른 목표달성 인센티브 등 지원을 제공받고 있습니다",D
"가공 무역에서 제조 서비스를 제공하고 이에 대한 Mark-up 매출
제품 제조 후 모듈 납품을 통한 매출
제품 제조 후 파트 및 반제품 납품을 통한 매출",C
"수의계약을 통한 공사대금 수령
자재 판매 및 기술 컨설팅에 따른 수익 확대
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",C
"물품공급을 하고 물품대금 수령.
물품 공급사와 끊임없는 협상을 통해 원가인하.
산지 생산자와의 직거래를 통해 원가 인하.
신제품 개발을 통해 기존제품과 차별화하여 이익창출",C
"물품공급을 하고 물품대금 수령.
물품 공급사와 끊임없는 협상을 통해 원가인하.
산지 생산자와의 직거래를 통해 원가 인하.
신제품 개발을 통해 기존제품과 차별화하여 이익창출",C
"차종별 고객사 입찰 방식으로 납품 후 대금 수령
생산 원가절감",C
"수의계약을 통한 공사대금 수령
설계변경을 통한 원가절감 혹은 부족 첫 계약대비 공사비용 재확인으로 수익 확대
경쟁입찰을 통한 계약으로 공사대금 수령
공사비 수익",B
자동차부품 납품대금수령,D
"공공공사 시공 수익
주거/상가부문 분양수익
개발사업의 개발 수익금",C
전문지 광고,E
"제품 매출
개발 프로젝트
유지보수료",C
"물품(제품/상품) 대전 수령
OEM/ODM 수가
기술공여 대금 수령
혁신농법/Global GAP 컨설팅 수입",C
"수의계약을 통한 전자어음
제품 자체 개발을 통해 외부 R&D 절감",C
"펀드의 운용보수:펀드 NAV_Net Asset Value_순자산총액_에 따라 일정비율 예컨데 20bp 등을 정기적으로 수취
펀드의 성과보수: 펀드의 운용성과에 따라 일정 성과를 달성하면 운용보수외 추가로 보수를 받을 수 있는 구조를 가진 펀드에 한해 성과보수 수령
투자일임 보수 및 성과보수: 기관 등과 투자일임자문 계약에 의거 수령하는보수 ",C
수의 및 공모를 통한조사 및 연구비용 및 설계비용 및 컨설팅을 통한 비용 창출을 한다,C
"소방 설계비
소방 감리비
인허가 비용
CM 비용 ",C
"제품판매 수익
임가공비 수익
욕실용품 등의 상품 판매 수익",C
"경쟁입찰을 통한 SW용역비 
대기업의 하도급 개발 용역비",C
"응용SW를 개발하여 납품하는 소프트웨어 개발공급 용역비 
시스템 유지보수를 위한 기술자의 파견 용역비",C
"제품 판매 대금
무역중개 수수료
제품 중개수수료",C
"수신금리와 여신금리의 차이를 활용한 예대마진(88%)
방카슈랑스, 펀드, 신용카드 등 비이자이익 (12%)",C
"공공입찰공사 입찰 후 공사대금 수령 
민간도급공사 도급 후 공사대금 수령
자체현장 분양을 통한 분양대금 수령",C
"경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령
제품 판매 및 공사비 수익",C
"서울우유 전용 목장에서 원유 구입, 원유의 제품화를 통한 판매이익(90%)
조합원 목장 운영을 위한 구매 사업(7%)
소, 가축을 위한 비료 판매 등
신용사업(서울우유농협은행) (3%) – 수도권 13개 점포",B
"시행을 통한 분양 수익
시공 시 원가절감으로 수익 확대",C
"효율적인 인력운용으로 예산 절감
광고 및 홍보를 통한 분양율 제고로 예산 절감
시장조사 및 상품개발 제공으로 수의계약을 통한 마케팅 수수료 확대",C
"경쟁 입찰를 통한 시스템인프라(IBM/EMC등) 납품 설치&구축, 운영 수익 
시스템인프라 및 상주인력 기술지원 및 통합 유지보수 대금 수익
통합생산관리시스템 컨설팅 및 개발에 따른 개발 인건비 수익",C
"수의계약을 통한 공사대금 수령
경쟁입찰을 통한 계약으로 공사대금 및 제품 대금 수령",C
"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C
"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C
"위생도기 및 타일, 수전금구, 욕실 인테리어 소품 판매 대금 수령
직영대리점에서 소비자와 인테리어 공사를 하고 받는 물품 대금
직영대리점에서 시공사에 납품하고 받는 물품 대금",C
"치과 개원 컨설팅을 통한 판매 수익 창출
모든 치과 기자재 판매를 통한 판매 이익
A/S를 통한 부품 판매 및 수수료 수익 창출",C
"직영 매장을 운영하여 얻는 수익
업체 관리로 인한 고정 수익
신곡관리, 기기 및 소모품 판매 수익
오프라인 매장의 매도에 의한 시설 권리금 수익",C
"철강 상품 제조상에 월간 판매 수익
계약을 통한 납기금액 수령
스팩 영업을 통한 공사대금 수령
제품 판매 수익",C
"반도체 검사장비인 테스트 핸들러에 들어가는 소모품 제조 및 판매
메모리 부분
 Cok : 테스트 핸들러에서 반도체 Device를 검사하기 위해 구성된 Kit 형태의 구성품
 Insert : 메모리 Test Handler 장비 내에서 Device를 안착하여 Test를 돕는 역할 수행
비메모리 부분
 SLK  : Device를 Workpress에 흡착, 가열 상태에서 테스트 수행을 보조하는 제품",C
"홍보영상, 유튜브 라이브, 해외 양방향 이원 중계",D
"고부가가치 수입가구 판매수익
국내제작가구의 수출 판매수익
수의계약을 통한 현금 유동성 확대",C
"협상을 통한 수의계약 설계 수수료
공모경쟁을 통한 수주 및 계약 수수료
설계 변경에 의한 변경 계약 수수료",C
"R&D 개발비 수령
시스템 유지보수비, 대응지원 인건비",C
"인터넷데이터센터(IDC) 이용 서비스 요금
IT 전산장비 시스템 구축 및 유지보수",C
시스템 욕실을 통한 건설형 공사수익,C
"교육과정 콘텐츠 개발비
역량평가비
세미나 및 워크숍 진행비
고객사의 니즈에 부합한 Customizing 개발을 통한 부가가치 창출",B
"감사용역, 비감사용역(재무자문, 실사, 가치평가) 및 세무용역 제공을 통한 수수료 수익",D
"구독방식을 통한 콘텐츠 사용료 수입
콘텐츠 제작을 통한 지속적인 콘텐츠 판매 수입
콘텐츠용 하드웨어 공급을 통한 수익
수의계약을 통한 콘텐츠 판매",C
"소프트웨어 개발 용역 매출이 주 수익원입니다.
부가 하드웨어 납품 대금",D
"설계용역비
감리용역비
CM용역비",C
욕조 판매 및 시공을 통한 수익,D
밸브 판매 수익,D
당사는 차별화된 기술과 양변기 자동물내림 제품 판매를 통해서 그 수익을 창출하고 있으며 소량 생산에서 대량 생산 체재 준비 과정에서 부품 코스트 다운-생산 공정 단축-생산 자동화 시설 등등을 통해서 추가 수익원을 추구해 감고 있음.,B
"신상품개발을 통해서 이익확대
자체 원가절감을 통한 판매수익
B2B에서 B2C를 추구하여 직접적으로 유통수익을 구현
경쟁입찰에 따른 수주 판매수익
주방, 욕실용품 관련 단품 판매 수익",B
"연간계약을 통한 공사대금 수령
수의계약을 통한 공사대금 수령
경쟁입찰을 통한 계약 
기타 서비스 제공을 통한 요금 수령 
소프트웨어 판매 및 관리",B
