핵심자원,label
"디자인능력과 전문지식을 갖고 있는 설계 인력과 정보, 협상력을 갖춘 영업인력",E
"판매 제품의 높은 품질 신뢰도 및 선진 기술 제공
전문 영업인력의 기술 서비스에 따른 고객의 현장 불만 감소
고객의 요구에 맞춘 신속한 신제품 개발 및 대응",C
"시공에 필요한 기술자 보유(시공, 공무 등)
고객만족을 위한 사후관리 시스템 ",D
" 전문지식을 갖춘 부서별 인적자원
 법령에 근거한 전문과학기술서비스업
 오랜 근속연수로 인한 인적자원의 경험력
 다양한 대외활동을 기반으로 한 경영진의 사장흐름을 파악하여 변화를 이끄는 경영진
 지역에 기반한 영업력",D
"전문 기술인력과 풍부한 경험을 갖춘 각 부서의 인적자원
시장 흐름을 파악하여 변화를 이끄는 경영진
업계에서 규모가 큰 설비 및 생산 능력의 공장(자동화 설비)
제품 생산의 오랜 노하우와 생산기술",B
"양질의 골재 생산에 적합한 원석
본업에 대한 전문 지식과 경험을 가진 인적자원
시장점유율 1위의 55년 업력의 노하우",D
"영업부의 인적자원으로써 누적된 영업기술, 인적 관계
30년 이상 누적된 생산 기술력의 인적자원으로 시행착오 최소화를 통한 원가절감과 순발력 있는 대응",D
"자산 증대 및 신용등급 상향을 통한 자금 조달 금리 인하
산업 시장 흐름을 파악하여 변화를 이끄는 능력 있는 경영진
신규 상품 런칭 및 산업별 심사 강화를 통한 리스크 완화 능력
상품별 전문 인력 채용을 바탕으로 브랜드 파원 및 인적 자원",D
"공장 및 설비시설
배관 제작 노하우 및 생산능력",E
"전국적 오프라인 유통 네트워크 보유
다양한 온라인 채널 확보
제품 개발 및 생산 능력 보유
시장 트랜드에 민첩하게 대응 할 수 있는 조직 보유
유통 및 마케팅 전문 인력 보유",B
"현재 기술의 최적화 및 향후 기술추이를 탐색하는 엔지니어의 선도적 기술확보
거래선 연구소 및 엔지니어를 대상으로 Promotion을 추진하는 기술영업의 인적자원
H/W와 S/W 그리고 Power를 구성하는 Total solution 지원 능력
필요기술을 확보하여 협력할 수 있는 다양한 기술파트너 체제구축",A
"고객을 편하게 응대할 수 있는 영업사원
기술적인 문제에 원활히 해답을 줄 수 있는 엔지니어
물류를 원활히 할 수 있는 물류 전문가
디자인적 감각으로 고객의 니즈를 만족시키는 코디네이터
창고 정리를 잘하는 정리 전문가가 악성 재고를 줄인다",C
"나물류의 다양한 품목
전국 계약재배 농가
숙련된 생산인력의 노하우
경기도의 공장 소재지로 서울, 경기지역 학교급식실 1시간내 긴급발주 가능",E
상기 답변으로 대체함.,E
"전문 소싱 능력이 중요합니다. 온라인 판매상 고객이 필요시 적기에 제품을 공급하는 것이 중요합니다.
인터넷 쇼핑몰운영자의 시장 분석 능력입니다. 즉, 경쟁사 제품들의 판매추이를 파악하여 신속하게 프로모션 대응하는 전략가가 필요합니다.
특화된 제품을 만들고 고객에게 홍보에 주력(예, 태양을 담은 김치김치가 많지만 새로운 브랜드로 고객의 호기심을 자극하여 맛을 볼 수 있도록 유도)",E
"금융권 경험 및 중소기업 경영컨설팅 사례
다양한 업종의 중소기업 창업 및 운영 지도를 통한 간접적인 사업경험
창업자 지도 및 아이디어 사례 경험과 초기 창업자의 다양한 성공 실패사례 체험
중소기업의 환경에 맞는 맞춤형 경영/자금조달 지도 경험",E
"세계 최고의 스포츠 기업으로서 긴 역사의 경험을 통한 서비스 제공
미국 싱가포르 중국 일본 영국 말레이시아 한국 등 다양한 지사들의 지속적인 커뮤니케이션 및 협업을 통한 빠른 업무진행",E
"정확한 원료 시황 파악 및 업체에서 원하는 물성을 찾을 수 있도록 추천 할 수 있는 다양한 원료 지식 
신규 제조업체 및 시장 발굴",E
"물류비용 절감 (시내위치)
소품종, 대량재고 확보로 예측가능한 구매력확보
대량구매로 단가 경쟁력 확보
신속 출하 시스템으로 회사 이미지 제고
친절 응대로 만족도 향상",D
"보일러 및 탈황설비의 전문지식을 보유한 설계 및 설치 엔지니어
중국에 합작법인으로 설립한 가격경쟁력 및 고품질의 제작 설비",C
"방송시스템 전문지식을 바탕으로 설계능력과 협상력을 갖춘 영업팀
방송장비 전문성을 만들고 기술의 원천인 지적 재산권을 끊임없이 연구하는 부설 기술연구소
효율적인 발주(장비및 시공업체선정)를 위한 외주구매팀",D
"전문지식을 갖춘 대출상담사등 인적자원 확보
대표자의 전문성으로 강한 리더쉽 ",E
"재고관리 물류관리의 역량강화
고객의 니즈를 신속 정확하게 처리하기 위한 인원과 설비를 효율적으로 운영하기 위한 노하우 및 역량 업그레이드",D
"방대한 인맥을 보유한 영업팀
시장의 변화에 선도적으로 대응 가능한 경영진
현장별 크레임 대응능력 우수한 영업관리팀",E
"다년간의 제품 연구개발 경험과 적기에 대량 물량을 공급할 수 있는 생산능력 확보 
전문지식을 보유한 업계 최상위 기술영업팀 보유",D
"메뉴개발 조리사,인테리어 디자인너,점포개발 전문가,점포관리 전문가
시장변화를 빠르게 읽어내는 전문가,신규창업 영업상담 전문가,직원&점주 교육전문가등
 각기의 위치에서 전문성을 기본으로 시장과 환경 트랜드 변화에 빠르게 적응
 점목하여 치킨시장에 선두주자가 되자.",E
"신제품 개발 능력
아웃도어, 캠핑 전문 판매자 집단
글로벌 프리미엄 브랜드 포지셔닝
차별화된 브랜드 철학과 이념",D
"고객사와의 친밀한 유대관계
조직구조 단순화를 통한 신속한 의사결정
젊음",E
"경쟁력 있는 단가, 고품질의 제품선정
고객사와의 긴밀한 유대관계",E
"끊임없는 투자로 제작되는 최고 기술력의 제품들.
적지만 동종 업계 경력이 10년이상 된 인원으로 구성된 기술지원 파트 직원들.
매년 진행하는 안전인증, 전자파 인증등
독일 본사, 싱가폴 아시아 본사의 빠른 답변과 일처리.",E
"시장흐름을 파악하고 학습하여 영업
 모임과 단체활동을 통한 인맥관리 ",E
"현금 및 부동산
대표자 본인 (개인사업자)
제품 선택 및 소싱 능력
상품의 적재적소 진열
상품 스토리와 사용법에 대한 자세하고 친절한 구두 설명 능력
인스타그램 게시용 사진 촬영 및 편집, 글쓰기 능력",E
"사무핵심업무는(미팅, 영업활동&제품홍보) 당사에서 보유하고
현장작업업무는 아웃소싱을 통해 운영하는 소싱 능력",E
미입력,E
"영업활동을 통해 유지되는 고객사
기술양성을 통해 성장되는 엔지니어
마케팅활동에 필요한 고객DB 정보
내부 높은 영업력, 기술력 등의 조직력과 관리시스템",C
"필수 인력들 즉, 자격증 소지자의 확보가 중요하며 꾸준한 설비개선을 위해 효율적인 운영방법을 찾아내고 교육하는 것. 실무자들의 운영능력 개선을 위해 타사에 대한 벤치마킹도 중요하며 스스로 개선할 수 있도록 독려하며 실적에 반영될 경우 인센티브를 통해 동기부여를 하는 것도 중요함. 결국 리더로부터 연구하고 개선하려는 노력이 필요하며 이를 실행하는 실무자들과의 유기적인 소통이 중요함. ",D
"10년간 설계한 체계적인 중국 유통망 및 대리상
핵심과 비핵심의 철저한 분리와 아웃소싱을 통한 높은 인당효율",D
"질 좋은 가죽을 오랫동안 취급해온 노하우
20년 동안 소파만 전문적으로 만들어온 기술력",D
"당사 브랜드
경쟁력 있는 직원
신속한 의사결정",E
"취급상품의 사양 데이터 구축
판매시장 동일 유통가격 적용 
상품별 온라인 카다록 제공
배송 알림시스템",D
"전문 지식을 가진 책임감 있는 인적자원
안정적인 회사의 현금 유동성
쌓아온 실적",E
"해외명품브랜드를 수입하여 판매하여왔으나 그 디자인은 모두 자사에서 한 것으로 디자인과 기술력은 해외에서도 인정하고 있으며, 아울러 오랜 영업력으로 넓은 판매채널을 을 갖고 있음",E
"해외명품브랜드를 수입하여 판매하여왔으나 그 디자인은 모두 자사에서 한 것으로 디자인과 기술력은 해외에서도 인정하고 있으며, 아울러 오랜 영업력으로 넓은 판매채널을 을 갖고 있음",E
"전문지식을 갖춘 5년이상의 경력자
열정이 넘치고, 배움의 자세를 갖춘 신입직원.
1700만명의 자동차 커뮤니티 회원.
외부 광고대행사의 주요인력.
20년간 다양한 온라인기반 사업을 총괄 기획자. 
멀티 업무가 가능한 웹디자이너 보유",C
"한국은행, 금융감독원 등 정부, 공공기관
해외 투자 기업
국내 금융기관
국내 대,중,소 기업",A
"경영컨설팅을 하기 위한 유자격자(경영지도사, 세무사, 노무사, 변리사, 법무사, 회계사, 행정사 등등) 와 업무지원 인력 등의 인적 자원
정부지원제도의 분석 및 경영전략 수립 파악을 위한 경영 및 기술 정보력",B
"100년에 가까운 역사와 오랜기간동안 유럽 시장점유율 전체 1위의 브랜드와 관리 시스템
한국지사의 중요성을 인식하여 과감한 투자
공격적인 운영으로 현재 펜데믹 상황에서도 인수 합병을 통한 경쟁력 강화 
직원들에게 지속적인 교육과 투자를 통한 인적 자원 관리 강화",C
"전문지식을 갖춘 우수한 인력(수신, 여신, 방카, 펀드 등)으로 고객의 자산을 증대 및 보호",E
"30년 이상의 맞춤 열에너지 개발기술 
시장흐름을 빠르게 파악하여 회사를 운영하는 경영진
오랜시간 여러산업군의 제품개발을 담당하며 쌓은 개발노하우와 다양한 산업군의 제품을 개발 할 수 있는 능력
핵심기술 및 업무는 당사 직접진행하고 다양한 협력사와의 협업을 통한 빠른 진행능력 
오랜 신뢰관계를 유지하며 협력하는 국내.외 협력사",C
"해당분야에서 오랜 경력을 가진 최고의 전문가로 구성되어 있음 (전원 Big firm 출신으로서 연차 낮은 인원을 투입하는 Big firm 대비 뛰어난 성과물 도출)
해당산업에 대한 높은 이해도를 바탕으로 효율적이고 효과적인 서비스를 제공
대기업, 중견기업, 중소기업, 워크아웃회사, 회생회사, 상장사, 비상장사 등 다양한 클라이언트 경험
Big firm 대비 저비용 구조를 바탕으로 한 합리적인 용역보수",D
"신규고객 및 지속적인 고객 유지관계를 위한 영업활동 담당자
공정 설계자 및 운용 가능자
고객 컴플레인 해결 담당자
글로벌 고객요구사항을 수용할수 있는 시스템운용자",D
"법인영업 경력보유자
금융자산관련 자격증 보유자
협상력과 친화력을 보유한 인적자원
투자전문가 및 보험계리사",D
"금융업에 대한 전문지식을 갖추고 있는 인적 자원
타사와 비교하여 우수한 상품",E
음식업 30년 경력의 주방장영입과 그에 준하는 보조주방장들 영입,D
해외 건축 1위를 수행하고 있는 인적 자원,D
"자체 생산
다양한 상품 확보",D
손해사정 보상실무경력,E
"물류 센터 인원
배송직원
영업용 차량
다년간 쌓아온 물류 knowhow",E
"전문지식의 젊은 (30대)조직으로 구성(GA의 다른 지점은 평균 50대로 구성)
36개 보험시스템을 활용할 수 있도록 교육
신입교육 활성화
보상 프로그램 활성화
끊임없이 배우는 스터디팀구성
1년커리큘럼 만들어 테마에 맞추어 교육",D
"즉시 A/S 대응 가능하여 고객 관리가 특화된 생산조직
설계 해석 까지 가능한 설계팀
과제 수행이 단독으로 가능한 연개발부
부품 공급협력사 관리능력",D
"기술력 우위를 통한 경쟁력 확보
우수한 기술력과 경영자원 확보를 위한 교육 활동
다양한 사회공헌활동을 통한 지역사회에서의 명성 쌓기",D
"근속 20년이상의 전문 엔지니어 보유
업계에서 가장 크고 오래된 전문 시공경험
초고층에 적합한 기술개발 및 연구개발팀 운영",D
"10년 이상의 경력을 가진 영업부 구성으로 효과적인 영업 진행
생산 전문가들 보유로 발 빠른 대응이 가능 함.
자체특허 보유",C
"인쇄 관련한 기장들의 노하우와 인적자원
시장흐름을 아는 경영진
기술력",E
"전문지식과 경험(노하우)을 갖춘 인적 자원
시장흐름을 파악하여 변화를 이끄는 경영진 
전문분야의 특화된 기술력",E
"우수한 품질을 갖춘 영화관 플랫폼
OTT 플랫폼과 차별화된 설비(고화질 영사기, 대형스크린, 웅장한 사운드)
전문인력을 갖춘 운영 관리(재무, 회계, 디자인, 영화제작, 드라마제작 등)
영화산업의 결정체",D
"취급 자재의 우수한 품질 및 가격 경쟁력, 공급 안정성
취급 자재에 대한 임직원의 전문적인 지식
CRC 1위 업체의 기술 숙련도 및 작업관련 노하우",E
"동 업계 20년 이상의 개발경력을 가진 대표이사 및 연구인력
현장경험이 풍부한 영업 및 생산인력
엔드유저의 니즈에 따른 신속한 대처 능력
핵심 거래처와의 유대관계
해외공장의 기술지원에 의한 지분 참여로 교두보 확보",C
"동 업계 20년 이상의 개발경력을 가진 대표이사 및 연구인력
현장경험이 풍부한 영업 및 생산인력
엔드유저의 니즈에 따른 신속한 대처 능력
핵심 거래처와의 유대관계
해외공장의 기술지원에 의한 지분 참여로 교두보 확보",C
"전문 인력
국내 최대 실적과 경험
관련 특허",E
"전문지식과 지속적 개발 진행하는 연구원
대형계약을 신속히 진행하는 사업부
시장흐름 파악 및 신규제품 기획 주도하는 경영진",D
" 20년 경력의 임원진의 인맥과 구매/판매노하우
차별화된 제품성능 및 디자인
파트너사와의 끈끈한 유대 및 장기간의 신뢰 형성",E
"온라인 컨텐츠 제작 및 출시 운영 노하우
관계사 및 파트너 시너지
핵심 인적자원(컨텐츠 및 마케팅 기획 사업조직)",D
당사 장기근속자의 지식 및 경험,E
"변호사의 전문지식 함양을 위해 지속적으로 전문, 교양 교육을 이수하고 있고.
20년 이상의 현직 및 변호사 경험을 통한 전문성과 노하우",E
"전문지식과 창조적인 사고를 가진 인재
각 분야별 특화된 설계 노하우 확보",E
"평균 10년이상의 재직하고, 전문지식을 갖춘 전문인력 자원
미래기술과 시장흐름을 파악해 변화를 이끄는 경영진
22년 업력의 특화된 경험 보유
고객으로 부터 신뢰성",E
"SGI서울보증 대리점 7년 이상 경력으로 숙련된 인력
다양한 형태의 증권 발급 경험을 토대로 정확한 안내",E
"40년간 국내 시장점유율 1위 의 품질, 기술력, man power.
40년간 베트남 시장점유율 1위 업체, 아스팔트 플랜트 와 레미콘 플랜트 해외 수출 1위 업체의 명성 과 고객들의 신뢰 ",E
"1,물류팀(배송직 사원)
2,영양사(홍보, 영업, 사후관리)
3,사무직(영업관리)",E
6번항목의 답변과같이 꾸준한 디자인향상을 위한 우수인력확보와 사내 분위기조성(디자인경쟁)을 통한 업게 경쟁력 확보가 핵심 자원 입니다,E
"UP-SKILL 과 RE-SKILL을 통해 최고의 인재를 양성하고 개방적, 창의적인 조직문화 구현
디지털 부문의 인력비중을 확대하고 IB,자본시장 등 핵심성장 부문의 인재 양성
AI나 RPA로 대체 가능한 직무를 지속 발굴하고 AI시대에도 사람이 강점을 갖는 업무로 인력 재배치
창의적인 아이디어와 집단지성이 구현하는 공유와 협업 문화의 확대",D
"임직원의 기술력
적극적인 CEO 근성",E
"특정분야 전문지식
특화된 디자인 능력",E
"세심한 설계, 건축자재의 생산에서 양질의 주택공급에 이르기까지 일체화된 시스템 체계
선진기법 및 효율적 경영관리를 통하여 국제 환경 변화에 능동적으로 대처하는 경영진
축적된 기술력과 창의적인 인재
지속가능한 성장을 위한 꾸준한 교육 활동",D
"우수한 기술인력
다수 시행한 임대아파트 경력 및 노하우",E
"기술력 확보 및 설계품질 향상 
지속적인 발주처 관리",E
"글로벌 Top 수준의 철강재 제조 장비/기술(생산량/품질/납기 등)
국내 Top 수준의 철강/금속 관련 인적 자원이 모여 운영하는 기술/생산/판매 및 유관부서의 업무
비즈니스 상 시너지 제고를 위한 그룹사(포스코인터내셔널, 포스코건설, 포스코강판 등)
국내외 주요 대기업 및 민/관/학/협회 네트워크(자동차사, 건설사, 세계철강협회, 국회 포럼 등)
‘세계에서 가장 경쟁력 있는 철강사’에 10년 연속 1위 선정(2010~2019, World Steel Dynamics)되는 등 철강에 특화된 생산 및 응용기술",C
"시장흐름을 파악하고 학습하여 영업
 모임과 단체활동을 통한 인맥관리 ",E
풍부한 경험과 적재잭소에 맞는 배차 능력 입니다.,E
"타사와 차별화된 설계와
업계를 선두하는 공법과 시공력",E
"경영관리팀
생산관리팀
품질관리팀
영업팀",D
"경영관리를 위한 경영진
해당분야 경험 및 전문가 ",E
"경영관리를 위한 경영진
전문지식과 업무총괄처리가 가능한 인적자원",E
"총괄관리 경영진
의료기기판매 전문가",E
프리미엄 디저트 카페,E
"반도체 및 디스플레이 핵심 기술공정
핵심반도체 인제 스카우트 
세계화 시장",B
"검사장비 기술력 
(OLED Mask 인장기 OLED Mask 틈새 장변 인장기)
OLED 합착이물 검사기, OLED 유효실 검사기
IR Filter 검사기, Pellicle 검사기",B
"안정적이고 안전하게 가스를 공급하는 노하우
지역곳곳에 매설된 가스공급 배관 자산",D
"설계사 전문 채널.(2500명)
보험클리닉이라고 하는 오프라인 매장",E
전문지식과 협상력을 갖춘 영업팀 등의 인적자원,E
"계열사 기술연구소
전문 협력사
각종 지하터파기 관련 특허",C
"주요 거래처
 현재 국내 대기업 및 전세계 32개국에 전자식 비데를 수출함으로써 제품의 기술력과 품질",D
"가공팀
기술팀 
영업팀",D
"타사보다 월등한 지역 사회에서의 활동
광고로 인한 브랜드 인지도",D
"전략 영업팀 인원 증대에 따른 인적자원
구매, 개발 지속적인 능력
시장 흐름을 파악하여 매년 방향성을 조정하는 영업팀
구매처와 지속적으로 연구, 개발, 유대관계, 경쟁력 있는 매입처 소싱",B
"1.	세계 또는 국내를 선도하는 기술력
2.	생산 설비를 자체 개발하여 적용하는 구조
3.	각부문의 담당자가 가진 Know-how
4.	중국 해외 법인(소주인터텍)을 통한 부품 조달등 업무 협조",B
"본업에 관심도가 높고 적성이 맞아 이 일을 능동적으로 정확히 진행 할 수 있는 인적 자원
해마다의 트렌드 반영 연구",C
"탁월한 토지개발팀
탁월한 건축설계 및 시공팀
탁월한 분양팀
탁월한 세무팀",D
"믿음과 신뢰
완벽하고 뛰어난 기술의 시공능력",E
"이공계 출신의 실무자
변리사
외국어 실력이 있는 사무업 종사자",D
"관련분야에 전문지식과 협상력을 갖춘 인적 자원
ISO인증과 특허기술을 보유한 뛰어난 품질과 기술보유
다양한 업체의 설비 적용과 현장 설치 노하우 
기업의 변화에 동참하며 생산 자동화 시스템에 최고의 기술력을 가진 펌프, 자동화 설비를 제공하여 안전하게 유체를 이송
Lubrication System을 적용하여 생산설비의 최적화 상태 유지",C
30년 이상의 해당업종의 기술능력 및 기술에 대한 노하우를 가진 핵심 맨파워 임,E
"부가가치가 높은 모돈 (엄마 돼지)
전반적인 농장시설",D
"측정부터 공사와 인허가 등 업무관련 종합대응이 가능한 인적자원
측정 분석업무에 대한 대외 관공서 감사에 대한 대응이 가능한 인적자원",D
"안정적 원료확보를 위한 채굴권확보로 경쟁력 확보.
생산라인의 개선을 통한 자동화로 가격경쟁력 확보",C
"영업 능력 있는 인력
경영능력 있는 경영자",E
"소 영양 박사학위 보유
사료회사 R&D, PM으로 15년 근무",C
우수한 경험과 경력을 가진 지적 소유자인 교수들입니다,D
"다양한 인맥 네트워크를 활용하는 경영진
전문성 있는 협회 및 회원사 직원
브랜드 가치(국내 주택산업을 견인하는 주택건설업체 모임)",D
"능력 있는 기자
능력 있는 마케팅 담당자
출판능력 있는 인쇄소
인터넷 기반 홈페이지",E
"기술팀 : 관련 경력 최소 5년 이상의 전문기술자 확보하여 신입사원의 경우 OJT를 현장중심으로 진행한다. 향후 설계지원시 현장 반영의 최적화 가능
중소기업이지만 대기업 매뉴얼 만큼 쌓아온 회사 DB구축-각 현장별 소모품, 공구, 인력변동 실시간, 자재 적정성 검토 등완료.
엔지니어링 회사지만 자체 생산시설 및 연구소 보유로 JIT 사스템 확보.. 고객사 대응 최고",C
"한국인과 가장 흡사한 4계절을 가지고 있는 지역의 좋은 머리결(중국 생산제품 우선사용)
중국에서 가족이 직접 운영하는 직영 생산 라인으로 제품의 신뢰성 (중국 현지인들을 거래 할경우
 가장 중요한 품질의 상태 유지는 포기해야 할 경우가 다반사입니다. 특히 가격인상이나 재료 공급시 그들 만의 가격을 무기로 시장을 어지럽히는 경우가 허다함)",E
"해당 분야에 경험이 풍부한 최고의 엔지니어들로 인하여 우수한 제품 제작능력 보유 
경쟁력 있는 부품업체 및 외주가공 업체를 다수 발굴 함으로서 우수한 제품 및 원가절감 효과로 인한 가격경쟁력 강화
불량률 최소화로 인한 원가절감으로 가격경쟁력 강화 ",C
"5년 이상 경력 베트남 생산 인력 유지
베트남 현지인력 최적 생산과 인력관리를 통한 공장장, 법인장
제품영업, A/S, 제품구매회사 관리를 위한 영업담담
최적의 원료가로 안정적인 원료공급을 위한 구매담당
시장흐름을 통찰하고 위기대응과 비전 제시와 리더십 경영진",C
"지속적인 거래처 발굴 및 신규시장 창출을 위해 매진하는 영업부
고객의 니즈에 부흥하기 위하여 치밀한 품질관리와 개선에 힘쓰는 품질팀
새로운 아이템과 생산성향상 품질개선을 위해 연구개발에 매진하는 기업부설연구소
고객사의 신뢰와 상호협력을 통해 지속 발전시켜온 업계최고의 금형 제작 기술",C
"쇼핑몰 활용 및 관리 노하우
상담 및 배송관련 포장",E
"최고의 품질을 자랑하는 필름을 약속된 기간안에 시공. 시공 후 철저한 AS 및 사후 관리
시장흐름을 파악하여 변화를 이끄는 경영진 및 영업부",D
"업계최고의 경쟁력
신뢰로 구축된 네트워크-제강사, 고객사, 금융기관 등
기업의 미래를 이끌 성장동력을 발견하고 투자하는 CEO
시장흐름과 업계 동향을 파악하여 결정하는 경영진
열정과 영업력을 갖춘 영업부
전문지식과 열정을 갖춘 가공사업부의 임직원
기민하고 촘촘한 관리로 원가절감과 영업 외 이익을 창출하는 모든 관리부서의 임직원
지역별 거점에 위치한 가공공장과 물류창고로 전국적 공급망 구축",B
